Input_Name,Selected_Name,Rank,Score,URL,Timestamp
"ALB","ALB",27,1.00,"/artist/05lbL86vkciXIbTRK8LqS8","2026-02-03 09:57:42"
"Sage","Sage",5,1.00,"/artist/5dDQASlR9FyeP4VO0jw35F","2026-02-03 09:57:51"
"Proleter","Proleter",1,1.00,"/artist/5dCpFeKxLbycrnsjWZjha8","2026-02-03 09:58:02"
"Caravan Palace","Caravan Palace",1,1.00,"/artist/37J1PlAkhRK7yrZUtqaUpQ","2026-02-03 09:58:13"
"Dimie Cat","Dimie Cat",1,1.00,"/artist/0LUkZYSaO60vSGVxgZM5PI","2026-02-03 09:58:23"
"Avi Buffalo","Avi Buffalo",1,1.00,"/artist/4Z2JzIUIe7HymMSV0tgP8c","2026-02-03 09:58:33"
"Milk Coffee & Sugar","Milk Coffee & Sugar",1,1.00,"/artist/14sWSkK6OB6FnYEVnNm4cV","2026-02-03 09:58:43"
"Fakear","Fakear",1,1.00,"/artist/4eFImh8D3F15dtZk0JQlpT","2026-02-03 09:58:53"
"Deva Premal","Deva Premal",1,1.00,"/artist/2970BxpdOBQmkMit6i9kVF","2026-02-03 09:59:05"
"Bastien Lallemant","Bastien Lallemant",1,1.00,"/artist/1FPjMO74WRJfpmGUbWbmTS","2026-02-03 09:59:16"
"Caspian Pool","Caspian Pool",1,1.00,"/artist/1oMMF1xyKATMzXXtMf8z0y","2026-02-03 09:59:26"
"Où sont les filles ?","Où sont les filles ?",7,1.00,"/artist/5wEX50RPLsOaMhPw0uLGNu","2026-02-03 09:59:37"
"Sixtine","Sixtine",1,1.00,"/artist/6NJay5QqtqVC6VcT05hXL1","2026-02-03 09:59:47"
"Made in Taiwan","Made in Taiwan",1,1.00,"/artist/0zlIIGOdiIGzhvrbJj5LxY","2026-02-03 09:59:57"
"Gordon Tracks","Gordon Tracks",1,1.00,"/artist/4DWl8U58uYeeTtlvbrLEY6","2026-02-03 10:04:04"
"Lateef","Lateef",7,1.00,"/artist/6UWrJ4EPKsHiI6KXSCdZmQ","2026-02-03 10:04:17"
"Faul","Faul",5,1.00,"/artist/2Dxbev9hZzbiEEwocnObzH","2026-02-03 10:04:27"
"Made in Taiwan","Made in Taiwan",1,1.00,"/artist/0zlIIGOdiIGzhvrbJj5LxY","2026-02-03 10:04:37"
"Le Couleur","Le Couleur",1,1.00,"/artist/0ChUTSO3tfQSVKMOpWkCJy","2026-02-03 10:04:46"
"L'Impératrice","L'Impératrice",1,1.00,"/artist/4PwlsrN0t5mLN0C827cbEU","2026-02-03 10:04:56"
"Raphaël","Raphaël",1,1.00,"/artist/1NPnXlXdEfr5ZxhEDsFevM","2026-02-03 10:05:07"
"Les Fatals Picards","Les Fatals Picards",1,1.00,"/artist/3oaj9AlMadVi3FkChhwFAz","2026-02-03 10:05:17"
"Kognitif","Kognitif",1,1.00,"/artist/6Jv6uJdhLc9R50kSy6RbLz","2026-02-03 10:05:28"
"Jeanette Robertson","Jeanette Robertson",1,1.00,"/artist/0utm0lboZakpuXFrVk09T1","2026-02-03 10:05:38"
"Synapson","Synapson",1,1.00,"/artist/5EGOerlVYxwqxaTLEWumBR","2026-02-03 10:05:47"
"Anna Kova","Anna Kova",1,1.00,"/artist/286w6qp0xgPtlyggwQk6DL","2026-02-03 10:05:57"
"Jacinthe","Jacinthe",1,1.00,"/artist/24UnPDr0OYE8SwXveh6TAl","2026-02-03 10:06:08"
"Breakbot","Breakbot",1,1.00,"/artist/0iui2Be5CP8EWxvHYsVspL","2026-02-03 10:06:20"
"Les Hurlements d'Léo","Les Hurlements d'Léo",1,1.00,"/artist/5WclEPgvoYK28a034NNa8s","2026-02-03 10:06:32"
"Marcel et son Orchestre","Marcel et son Orchestre",1,1.00,"/artist/5YdOZp94WgelKxaAlQ2j7y","2026-02-03 10:06:42"
"Loïc Lantoine","Loïc Lantoine",1,1.00,"/artist/1zJwk8m4TL8v36ac3PHqU6","2026-02-03 10:06:53"
"Daphné","Daphné",3,1.00,"/artist/5AOcPfypyRAtLDtKwbUj2q","2026-02-03 10:07:04"
"Her","Her",9,1.00,"/artist/1T2WeXEi0XlZiPpjjDAY0L","2026-02-03 10:07:15"
"Pendentif","Pendentif",1,1.00,"/artist/5NRB4aZpG36tP67lZKAmvY","2026-02-03 10:07:24"
"Eileen","Eileen",4,1.00,"/artist/2AocfyglsHV2wP3IobPCyH","2026-02-03 10:07:36"
"Sexy Sushi","Sexy Sushi",1,1.00,"/artist/6yNXUzxIakMVY5LoVgZGHG","2026-02-03 10:07:47"
"Enrico Macias","Enrico Macias",1,1.00,"/artist/1n1k5yFQxYhohOmSWVmTo6","2026-02-03 10:07:58"
"Hervé Vilard","Hervé Vilard",1,1.00,"/artist/1HkC0LOaynhYSGcNklyIcd","2026-02-03 10:08:10"
"C. Jérôme","C. Jérôme",1,1.00,"/artist/4tJSPijz99rQ8cNtr7DYMH","2026-02-03 10:08:20"
"Didier Barbelivien","Didier Barbelivien",1,1.00,"/artist/0t85REHE5k1LBHLDongFNq","2026-02-03 10:08:29"
"Félix Gray","Félix Gray",1,1.00,"/artist/6G02QSb22twlGR7BzPiS3h","2026-02-03 10:08:39"
"Daniel Guichard","Daniel Guichard",1,1.00,"/artist/0lFr08kPxkwkXfsrHSmPvs","2026-02-03 10:08:49"
"Mike Brant","Mike Brant",1,1.00,"/artist/1u9tovPnCMYuZiV3EMZqDV","2026-02-03 10:09:01"
"Claude Barzotti","Claude Barzotti",1,1.00,"/artist/3rXJOlQbim2cC6I7wxAlrb","2026-02-03 10:09:12"
"Gérard Lenorman","Gérard Lenorman",1,1.00,"/artist/5yyYswdvKadmf03amOvBDx","2026-02-03 10:09:23"
"Julien Clerc","Julien Clerc",1,1.00,"/artist/7gVzeNvBbUpj6PXX5ekCMs","2026-02-03 10:09:33"
