Artist,Count
Lockhart,16
Alan Raph,16
Lancelot,15
MGMT,15
Jeanne Balibar,15
Vacations,14
Matild,14
Sofia Philharmonic Orchestra,14
Emil Tabakov,14
Quentin Sirjacq,14
Daniela Longhi,14
Terry Riley,14
Franz Liszt,13
Sir Henry Wood,13
Philadelphia Orchestra,13
Ferenc Fricsay,13
Gabriel Afathi,12
L. Shankar,12
Sandrine Kiberlain,12
Lorin Maazel,12
James Mercer,12
Awa Ly,11
Babx,11
Yolande Bashing,11
Academy of St. Martin in the Fields,11
Pascal Schumacher,11
Arc De Soleil,10
Henri Texier,10
Damian Marhulets,10
Foster The People,10
You Man,10
Passi,10
Joy Again,10
Louis Sclavis,10
Klangstof,10
Clara Luzia,10
Spoon,10
Claude Nougaro,9
The Verve,9
strongboi,9
Tristesse Contemporaine,9
Telquist,9
Rouquine,9
Margaret Hermant,9
Mike Lindsay,9
Ablaye Cissoko,9
Vega Trails,9
Trinidad Senolia,9
Edouard Ferlet,9
Yan Pascal Tortelier,9
William Sheller,9
Old Sea Brigade,9
Matt Skelton,9
Brianna Tam,9
Magic Shoppe,9
Joseph d'Anvers,9
GRIEFJOY,9
B.Alone,9
Kid Loco,9
Makoto San,9
Uno Helmersson,8
Ridan,8
Luluc,8
Régis Pasquier,8
Mega Bog,8
June and the Jones,8
Michel Delpech,8
TV Girl,8
Luke Sital-Singh,8
Edward Sharpe & The Magnetic Zeros,8
MonteRosso,8
Fionn Regan,8
Revers Gagnant,8
Cedric Vermue,8
Christine Salem,8
The Doug,8
Grand Corps Malade,8
Alain Marion,8
The Chamber Orchestra Of London,8
Sir Neville Marriner,8
Bon Iver,8
Louis Warynski,8
miki,8
Ginette Garcin,8
Adrian Chandler,8
Nightmares On Wax,7
Sophie Barker,7
STRFKR,7
Michel Polnareff,7
Bert Dockx,7
Thierry Larose,7
Dez Mona,7
Carlos Kleiber,7
Joshua Bell,7
New York Philharmonic,7
Nicolas Ly,7
Syrano,7
Burning Peacocks,7
Martin Phipps,7
Midnight Magic,7
Great Lake Swimmers,7
Gatien,7
Mister Modo & Ugly Mac Beer,7
Bumcello,7
Etienne Dufresne,7
Jacques Palminger,7
Yvon,7
Marlon Magnée,7
Garth Knox,7
Lord Huron,7
Stéphane Kerecki,7
Aldo Romano,7
Alain Delon,7
Alain Barrière,7
Michael Finnissy,7
Les P'tits Yeux,7
Samarabalouf,7
Pumarosa,7
Andéol,7
Here We Go Magic,7
Victor Démé,7
Neil Leiter,7
Charlotte Day Wilson,7
GRANDGEORGE,7
Robin Foster,7
Philippe Rombi,7
Kočani Orkestar,7
Sergio Díaz De Rojas,7
Miossec,7
Esa-Pekka Salonen,7
The Lumineers,7
Alice Sara Ott,7
Surprise Chef,7
Cymande,7
Khatia Buniatishvili,7
Empire Of The Sun,7
Lykke Li,7
James Newton Howard,7
Johannes Motschmann,7
Alan Silvestri,7
Ruppert Pupkin,7
Jocelyn Pook,7
Stelvio Cipriani,7
Da Silva,7
Barcella,7
Yves Jamait,7
Les Filles & Christopher,7
Stromae,7
Guido Morini,7
Gabriel Yared,7
d4vd,6
Michael Tilson Thomas,6
The Czars,6
John Parricelli,6
Arab Strap,6
Nadeah,6
Neil Cowley Trio,6
OMOH,6
Singtank,6
The Boxer Rebellion,6
Richard Swift,6
Microsillon,6
Buffalo Springfield,6
Sarah W. Papsun,6
Rupert Gregson-Williams,6
Shai Maestro,6
Sam Evian,6
Supergrass,6
The Greenhornes,6
Nono,6
Karen Dalton,6
Frankie Goes To Hollywood,6
Deerhunter,6
Leif Ove Andsnes,6
COUTURIER,6
Dusty Springfield,6
Ayọ,6
Gaétan Nonchalant,6
Dead Horse Beats,6
Marie Modiano,6
High Water,6
Soapkills,6
Flunk,6
Chris Staples,6
Olle Nyman,6
Drugdealer,6
Flowering Inferno,6
Milo Korbenski,6
The Killers,6
"Dream, Ivory",6
Watcha Clan,6
Rokia Traoré,6
Ben Lukas Boysen,6
Meredi,6
Pet Shop Boys,6
Aaron Frazer,6
Joakim,6
Radu Lupu,6
Maxime Delpierre,6
Fanfare Ciocarlia,6
Dani,6
Q Funktion,6
Boztown,6
Mon Doux Saigneur,6
Dolphin Love,6
Agnès Vesterman,6
Mattia Turzo,6
Amsterdam Klezmer Band,6
Giant Sand,6
Nadia Reid,6
Jean-Louis Aubert,6
Charlie Winston,6
Mop Mop,6
Absynthe Minded,6
Fabrice Moreau,6
Mon Cote Punk,6
Ehla,6
DjeuhDjoah,6
Karl Hector & The Malcouns,6
Christoph Willibald Gluck,6
Gillian Hills,6
Jadu Heart,6
Tears For Fears,6
Gnarls Barkley,6
Riz Ortolani,6
Anaïs,6
Be Svendsen,6
Les copines d'abord,6
SANTA,6
François Deguelt,6
Da Break,6
Dave Pike Set,6
London Sinfonietta,6
Serge Lama,6
Elektro Hafiz,6
Kjartan Sveinsson,6
Nilüfer Yanya,6
Vanessa Paradis,6
Karin Clercq,6
Luciole,6
Honny & The Bees Band,6
BlauBird,6
Sandor,6
Vetiver,6
Viken Arman,6
Valérie Lemercier,6
Mooneye,6
Traf,6
La Fine Equipe,6
Culk,6
Camille Thomas,6
Catherine Ringer,6
Eiffel,6
Gabríel Ólafs,6
Blumi,6
Scratch Bandits Crew,6
Alabaster DePlume,6
Teho,5
Tiflis Transit,5
Nochka,5
jenna,5
Meredith Monk,5
Hand Habits,5
Oliver Koletzki,5
Bleu Berline,5
La Parade,5
Dent May,5
Ellyn Woods,5
Hoshi,5
Stéphane Métro,5
Equador,5
Sleeping At Last,5
Scoring Berlin,5
Theodor,5
Minimal Schlager,5
Eric Demarsan,5
Nitsch,5
K.O.G,5
Alain Chamfort,5
Dorsaf Hamdani,5
NEIL FRANCES,5
Marie-Pierre Arthur,5
Lewsberg,5
Gotts Street Park,5
Valence,5
Iron & Wine,5
Fatboy Slim,5
Hyphen Hyphen,5
Michèle Torr,5
Khoe Wa,5
Marina Allen,5
Joan Shelley,5
Moussa,5
Xique-Xique,5
Vundabar,5
Jean Tonique,5
Riccardo Muti,5
Natural Self,5
Fleet Foxes,5
The Confederate Dead,5
Psychic Ills,5
Concerto Italiano,5
Bavarian State Orchestra,5
Intergalactic Lovers,5
Nikola,5
Appaloosa,5
Meltt,5
Jordan Critz,5
Macha Gharibian,5
Petit Nuage,5
girl in red,5
Klangkarussell,5
Malky,5
The Mystery Lights,5
Slow Train Soul,5
Runar Blesvik,5
Fine Young Cannibals,5
The Goo Goo Dolls,5
Seiji Ozawa,5
Charlie Faron,5
Govrache,5
Lera Lynn,5
Dmitry Evgrafov,5
Calypso Rose,5
Leif Vollebekk,5
Bonga,5
Das Paradies,5
Billy Nomates,5
Olivier Daviaud,5
Nino Nardini,5
José Junior,5
Helen Ganya,5
Faada Freddy,5
Valery Gergiev,5
Alexandra Hamilton-Ayres,5
Poirier,5
Papercuts,5
UNKLE,5
Bat For Lashes,5
Waldskin,5
Didier Malherbe,5
Passion Coco,5
The Clash,5
Nat King Cole,5
Mano Solo,5
Scuffles,5
BIRRD,5
Giraud & Surmely,5
Brian Tyler,5
Henning Fuchs,5
Baby Alpaca,5
The Neighbourhood,5
The Police,5
Constantinople,5
Java,5
Matty,5
Lucie Paradis,5
Kasabian,5
Dr. Dog,5
Saschienne,5
Ghalia Benali,5
Luca D'Alberto,5
Mulatu Astatke,5
Cotton Jones,5
Simple Minds,5
Dexys Midnight Runners,5
Anna Domino,5
Hadouk Trio,5
L'Eclair,5
America,5
Felix Mendelssohn,5
Elina Garanca,5
Goldmund,5
"Orlando ""Cachaíto"" López",5
Brussels Philharmonic,5
Després,5
Miike Snow,5
Simian Mobile Disco,5
Clear Coast,5
Zimmerman,5
Les Tit' Nassels,5
Grimes,5
William McVicker,5
June & Lula,5
Gothenburg Symphony Orchestra,5
Franz Ferdinand,5
Eternal Eclipse,5
Isobel Campbell,5
Offthewally,5
The Concretes,5
Grégoire,5
JB Dunckel,5
Belleruche,5
Snorri Hallgrímsson,5
Claudio Capéo,5
Blood Orange,5
Les Innocents,5
Louis Armstrong,5
Dream Noir,5
Barry Wordsworth,5
Florian Christl,5
Andrea Falconieri,5
Suzanne Belaubre,5
Beaks,5
The Cranberries,5
Lieutenant Nicholson,5
Mike Lazarev,5
Moderat,5
Catching Flies,5
The Cleveland Orchestra,5
noé extrat,5
Jessica Jones,5
Mina Richman,5
Anaysa,5
Tito Puente,5
Talking Heads,5
Luns,5
Cristina Ortiz,5
Edith Whiskers,5
Claire Laffut,5
Michele Nobler,5
Dry Cleaning,5
Bratsch,5
Benjamin Moussay,5
Giedre,5
The Dig,5
Iorie,5
Emiliano Blangero,5
Jamie Duffy,5
Christie Laume,5
Kimbra,5
Michel Sardou,5
Jakie Quartz,5
Kathrin deBoer,5
Norbert Kraft,4
Ottavio Dantone,4
Eléa,4
Bonnie Prince Billy,4
Marie Céleste,4
Hajna,4
Yeahman,4
Oberhofer,4
Lemony Rug,4
Lévon Minassian,4
Cora Vaucaire,4
Rsn,4
Ora Cogan,4
Luca Longobardi,4
Aidan Noell,4
Kid Bombardos,4
Gwen Dolyn,4
Barbara Rivage,4
"Whatever, Dad",4
Johnny Klimek,4
Areski Belkacem,4
Dave Stewart,4
Radiohead,4
Curses,4
Tesfa-maryam Kidane,4
Christopher Hogwood,4
Element Of Crime,4
Andy Williams,4
Alejandro Molinari,4
Keeley Forsyth,4
Philippe Brach,4
TJE,4
Afro-Cuban All Stars,4
Natalie Imbruglia,4
Yoav,4
Guillaume Grand,4
Indigo Sparke,4
Martin Circus,4
Stomy Bugsy,4
Rubin Steiner,4
