Input_Name,Selected_Name,Rank,Score,URL,Timestamp
"Worakls","Worakls",1,1.00,"/artist/5RPzPJCg4ER1LzQkorZ31p","2026-05-04 20:50:14"
"4th Dimension","4th Dimension",1,1.00,"/artist/4ZlFbALWdnGwddsSVIjupO","2026-05-05 08:08:58"
"A Forest Mighty Black","A Forest Mighty Black",1,1.00,"/artist/4zPCP1wMTDpEWsMWtMvPv5","2026-05-05 08:09:09"
"a-ha","a-ha",1,1.00,"/artist/2jzc5TC5TVFLXQlBNiIUzE","2026-05-05 08:09:21"
"Adrian Raso","Adrian Raso",1,1.00,"/artist/5srxWzYfB4gHtcdeswjQjy","2026-05-05 08:09:33"
"Agoria","Agoria",1,1.00,"/artist/4lu50np3LdTkRL09T7x8UP","2026-05-05 08:09:45"
"Akalé Wubé","Akalé Wubé",1,1.00,"/artist/2jjVw1rNPydSwqfJc5uSdn","2026-05-05 08:09:54"
"Alex Baranowski","Alex Baranowski",1,1.00,"/artist/25ZtHjSjM5LJckzidujhoQ","2026-05-05 08:10:07"
"Alexander Borodin","Alexander Borodin",1,1.00,"/artist/34MYamymtmnsmpwbqydd7I","2026-05-05 08:10:17"
"Alexi Murdoch","Alexi Murdoch",1,1.00,"/artist/25mrbNwFzoqPWyYXLhiDRw","2026-05-05 08:10:28"
"Alexis Ffrench","Alexis Ffrench",1,1.00,"/artist/58R31AvN8JMHM7xkNpVLjX","2026-05-05 08:10:38"
"Alfred Brendel","Alfred Brendel",1,1.00,"/artist/5vBh0nve44zwwVF5KWtCwA","2026-05-05 08:10:49"
"Alice Costelloe","Alice Costelloe",1,1.00,"/artist/1xbZZl0gYutFPyiUAXuJLy","2026-05-05 08:11:00"
"Alice Russell","Alice Russell",1,1.00,"/artist/1ga4lWS7NtKo4r9jNSWumc","2026-05-05 08:11:10"
"Alister","Alister",1,1.00,"/artist/1xouBaP3PomCmnS8kv2loT","2026-05-05 08:11:20"
"alt-J","alt-J",1,1.00,"/artist/3XHO7cRUPCLOr6jwp8vsx5","2026-05-05 08:11:32"
"Amarula Café Club","Amarula Café Club",1,1.00,"/artist/5ESiClFEihXPGrgq9t36Gd","2026-05-05 08:11:43"
"Amel Bent","Amel Bent",1,1.00,"/artist/15jZ8OLtnGATWHlQkltG7f","2026-05-05 08:11:53"
"Amelia Magdalena","Amelia Magdalena",1,1.00,"/artist/0z0lcAGtZwp9PUrqUCArLu","2026-05-05 08:12:04"
"Ami Warning","Ami Warning",1,1.00,"/artist/7emjIbMonyAREBQkHhblu9","2026-05-05 08:12:16"
"Ancient Astronauts","Ancient Astronauts",1,1.00,"/artist/09JW90QIws2Z3H8hxL5fFN","2026-05-05 08:12:26"
"Andy Shauf","Andy Shauf",1,1.00,"/artist/5mFKYdmiYwNJTDtSzgFyQx","2026-05-05 08:12:36"
"Angus & Julia Stone","Angus & Julia Stone",1,1.00,"/artist/4tvKz56Tr39bkhcQUTO0Xr","2026-05-05 08:12:46"
"Anna Majidson","Anna Majidson",1,1.00,"/artist/7jfJJuEsycOiEc2n4fCM7z","2026-05-05 08:12:57"
"Annie Lennox","Annie Lennox",1,1.00,"/artist/5MspMQqdVbdwP6ax3GXqum","2026-05-05 08:13:07"
"Antonio Pinto","Antonio Pinto",1,1.00,"/artist/7jBJcoFeQkHaqrJBIZsd5h","2026-05-05 08:13:19"
"Apparat","Apparat",1,1.00,"/artist/40Ojab0UtVQFjA76qXr8Ot","2026-05-05 08:13:30"
"Arca M","Arca M",1,1.00,"/artist/4qVGCiHNMFQPWATwj7stKg","2026-05-05 08:13:42"
"Arcadian","Arcadian",1,1.00,"/artist/6AsX53NZ0rVrVnlKLy1KvR","2026-05-05 08:13:54"
"Archive","Archive",1,1.00,"/artist/1Q776wzj2mrtXrNu3iH6nk","2026-05-05 08:14:04"
"Arctic Monkeys","Arctic Monkeys",1,1.00,"/artist/7Ln80lUS6He07XvHI8qqHH","2026-05-05 08:14:17"
"Arlo Parks","Arlo Parks",1,1.00,"/artist/4kIwETcbpuFgRukE8o7Opx","2026-05-05 08:14:29"
"Art Music","Art Music",1,1.00,"/artist/3gMrpwNrFNI5p6iz9IeUrs","2026-05-05 08:14:40"
"Asagaya","Asagaya",1,1.00,"/artist/5bhj69AnZez5WMz19Cq1Io","2026-05-05 08:14:49"
"ASPHALT","ASPHALT",1,1.00,"/artist/0HejIKqzSycSFSqO501hhh","2026-05-05 08:14:59"
"Au P'Tit Bonheur","Au P'Tit Bonheur",1,1.00,"/artist/6aA4f67AL9W1VxtO78M06b","2026-05-05 08:15:10"
"Avia","Avia",2,1.00,"/artist/08E1gIXEm5SDflPh1tGQ2Z","2026-05-05 08:15:20"
"Ax and the Hatchetmen","Ax and the Hatchetmen",1,1.00,"/artist/5WJCUSIw2Td5IEfa3LXCo9","2026-05-05 08:15:32"
"Axel Bauer","Axel Bauer",1,1.00,"/artist/7H9BHRpRnP55YwZpFLAVmd","2026-05-05 08:15:43"
"Axelle Red","Axelle Red",1,1.00,"/artist/3gX7V7VCwOBz90t62hQHMw","2026-05-05 08:15:53"
"Babes In Canyon","Babes In Canyon",1,1.00,"/artist/3qWhqacIGmabp0lVAVpPzA","2026-05-05 08:16:04"
"Baby Bugs","Baby Bugs",1,1.00,"/artist/3TBTcHpZ3aV1g8rk8i1zb5","2026-05-05 08:16:16"
"Bahamas","Bahamas",1,1.00,"/artist/4C50EbCS11M0VbGyH3OfLt","2026-05-05 08:16:26"
"Banda Ionica","Banda Ionica",1,1.00,"/artist/6eCtaocYOtjHwg3olwRtmV","2026-05-05 08:16:35"
"Bang On A Can All-Stars","Bang On A Can All-Stars",1,1.00,"/artist/7oWIf1AfunefF3puPqzTkQ","2026-05-05 08:16:46"
"Bastille","Bastille",1,1.00,"/artist/7EQ0qTo7fWT7DPxmxtSYEc","2026-05-05 08:16:58"
"beabadoobee","beabadoobee",1,1.00,"/artist/35l9BRT7MXmM8bv2WDQiyB","2026-05-05 08:17:09"
"Bedouine","Bedouine",1,1.00,"/artist/6IiZemRMna678qNhiRkYI5","2026-05-05 08:17:19"
"Bella Litsa","Bella Litsa",1,1.00,"/artist/7JtXhBJMyYER8yXatsX7Xd","2026-05-05 08:17:30"
"Benjamin Francis Leftwich","Benjamin Francis Leftwich",1,1.00,"/artist/7D5oTJSXSHf51auG0106CQ","2026-05-05 08:17:42"
"Benjamin Siksou","Benjamin Siksou",1,1.00,"/artist/3c8a5SxsvbvqUzstEbcgeM","2026-05-05 08:17:54"
"Berry Weight","Berry Weight",1,1.00,"/artist/5I7n9qoy56ibexYfrF9ZEL","2026-05-05 08:18:06"
"Bess Atwell","Bess Atwell",1,1.00,"/artist/6Pim5E5Lm03COsjHj2aEiK","2026-05-05 08:18:18"
"Bibi Tanga & The Selenites","Bibi Tanga & The Selenites",1,1.00,"/artist/1wDClxPQ3dnP5IfginkLma","2026-05-05 08:18:31"
"Billie Marten","Billie Marten",1,1.00,"/artist/02YLJJnWC7YQVixkjEBRn7","2026-05-05 08:18:45"
"Billy Joel","Billy Joel",1,1.00,"/artist/6zFYqv1mOsgBRQbae3JJ9e","2026-05-05 08:18:59"
"Biloba","Biloba",1,1.00,"/artist/1X3IRnPPAu5K9HOzff1Qey","2026-05-05 08:19:12"
"Bisou","Bisou",1,1.00,"/artist/74m2vnYnIGai5x0musAVGn","2026-05-05 08:19:27"
"Black Light Smoke","Black Light Smoke",1,1.00,"/artist/6tBzfm9cIQVj3JFJnF2QTm","2026-05-05 08:19:39"
"Blankass","Blankass",1,1.00,"/artist/1FSEVDIvXWHWPmPeCuka03","2026-05-05 08:19:54"
