Artist,Album
"-M-,Jordan Cauvin,Thibault Cauvin",Cities II
17 Hippies,20 Years 17 Hippies - Anatomy
17 Hippies,El Dorado
"39 Femmes,Mayra Andrade,Jennifer Ayache,Nawel Ben Kraïem,Blondino,Brigitte,Karen Brunon,Buridane,Amina Cadelli,Barbara Carlotti,Chat,Les coquettes,Anaïs Croze,Camille Faure,Alma Forrer,Zaza Fournier,Élodie Frégé,Hollysiz,Agnès Jaoui,MAI LAN","Debout les femmes (feat. Mayra Andrade, Jennifer Ayache, Nawel Ben Kraïem, Blondino, Brigitte, Karen Brunon, Buridane, Amina Cadelli, Barbara Carlotti, Chat, Les Coquettes, Anaïs Croze, Camille Faure, Alma Forrer, Zaza Fournier, Elodie Frégé, HollySiz, Agnès Jaoui, Mai Lan, Clara Luciani, Luciole, Madjo, Carole Masseport, Inna Modja, Sandra Nkaké, Ornette, Lili Poe, Pomme, Barbara Pravi, Olivia Ruiz, La Grande Sophie, Elisa Tovati, Calypso Valois, Diane Villanueva, Clea Vincent & Julie Zenatti) [39 Femmes]"
ASPHALT,Lame de fond
"ASPRA,Lena Platonos",Markos (French Version)
AaRON,U-Turn (Lili)
"Adèle Castillon,Videoclub",Plaisir Risque Dépendance
"Al'Tarba,Degiheugi","Le Cabinet des Curiosités, Vol. I"
Alain Bashung,Fantaisie Militaire
Alain Bashung,Pizza
Alain Souchon,C'est déjà ça
Alain Souchon,Jamais Content
Albert Tawil,Seul
"Alex Beaupain,Camélia Jordana",Pourquoi Battait Mon Coeur
Alex Gopher,You My Baby And I
Alex Melville,Halizéa
Alexis HK,Belle ville
Alexis HK,Comme un ours
Alexis HK,Les Affranchis
Ali Danel,Ali Danel et ses ami.es
Ali Farka Touré,Niafunké
Alice on the roof,Comme je t'ai aimé
Alif Tree,French Cuisine
Aliocha Schneider,Avant Elle
"Alka Balbir,Hubert Giraud,Gerard Frank",La première fois
Allain Leprest,(Re)Donne-moi de mes nouvelles
"Allain Leprest,Romain Didier",Leprest Symphonique: Les derniers enregistrements d'Allain
Alma,T'es pas un homme
Alma Rechtman,Je veux être dans tes bras
Alma Rechtman,dans ma maison
Alpha Blondy,Jah Victory
Amie,Deux-trois mots
Amie,Seule (How to Be Your Own Best Friend Soundtrack)
"Amouë,Kazy Lambist",Villa d'été
Andre Bourvil,Du Rire Aux Larmes
"Andrick Airways,Ayema",Dans ma cabane (Radio Edit)
"André Pascal,Raymond Lefèvre,Paul Mauriat",Le gendarme à Saint-Tropez (Cinéma)
Anna Karina,BOF Anna
Anne Sylvestre,Les pierres dans mon jardin / Une sorcière comme les autres
"Anoraak,Sarah Maison",For Beirut
"Anoraak,Sarah Maison",Gang
Antoine,MusicWorld France
Antonin Appaix,Flashdance
"Apple Echoess,Zorro Loco",poupée de glace
Aquaserge,Si tu t'en vas
Arcadian,Arcadian
"Ariane Moffatt,Lou Doillon",Incarnat
Ariane Roy,AVALANCHE (n.f.)
Arnaud Rebotini,Curiosa (Bande originale du film)
Arthur Ely,SAIGNANT
Arthur Ely,SAIGNANT (Première bouchée)
Arthur H,Adieu Tristesse
Arthur H,Amour chien fou (Édition deluxe)
Arthur H,LA VIE
Arthur H,Soleil dedans
"Arthur Teboul,Baptiste Trotignon",Piano Voix
"Asaf Avidan,MC Solaar",Lost Horse (feat. MC Solaar)
Asfar Shamsi,boîte à musique
Astéréotypie,PATAMI
Au Bonheur Des Dames,Jour De Fête
Au Bonheur Des Dames,Quart De Touist
"Augustin Parsy,Clio",Impact fatal
Aure,Dans la plaine
Aurélie Saada,Rose (La bande originale du film)
Avi Buffalo,Avi Buffalo
Axel Enderlin,aime-moi.
Axel Enderlin,j'ai croisé l'amour. (Demo)
Axel Enderlin,la fille nue.
Axel Enderlin,le coeur qui bat.
Ayreon,The Human Equation
BARON.E,Bleu ou vert
BRÖ,Mauvais rôle (Studio)
Baba Sissoko,Three Gees
Baccara,Best Of
Baccara,Ultimate 70's Party
"Ballaké Sissoko,Camille",Djourou
Baptiste W. Hamon,"Soleil, soleil bleu"
Barbara,L'Aigle Noir
Barbara,Ma Plus Belle Histoire D'Amour... C'Est Vous
"Barbara Pravi,Silly Boy Blue",Les prières - racines
"Barkanan,Lémofil",À l'arrivée
Barrio Colette,Filles garçons
Bazbaz,Le bonheur fantôme
"Bazbaz,Brigitte",Bazbaz café
Bellboy,Les créatures de l'univers
Bellboy,Opéra partie I
Belle and Sebastian,I Want the World to Stop
"Benjamin Biolay,Chiara Mastroianni",HOME
Berliner Doom,Notre Doom
Bernard Estardy,La formule du baron
Bernard Lavilliers,Le Stéphanois
Bertrand Belin,French Indie Pop Volume 1 by Le Mouv'
Bertrand Belin,Les 50 ans de Saravah
Bertrand Cantat,Amor Fati
Bibi Club,Feu de garde
Bibi Club,Le soleil et la mer
"Bisou,Suzanne Belaubre",On sera beau
"Blick Bassy,Philippe Campion,Cats On Trees,Chiloo,Clou,David Donatien,Clément Ducol,Féfé,Leeroy,Foé,Erza Muqoli,Noé Preszow,Shaka Ponk,Vianney,Yael Naim,Albin de la Simone,Mathieu Boogaerts,Vincent Delerm",Demain demain
Blond,Les bonnes manières
Blond,Pour la vie entière
Blossom Dearie,Whisper For You
Blue Salt,Poème d'automne
Blues Trottoir,Histoires courtes
Bob Azzam,"Gala de la chanson francarabe (Sous le patronage de l'Echo d'Alger, le quotidien de tous les Algérois)"
Bob Azzam,Les Annees Barclay
"Bolivard,Sarah Rebecca",Bolivardisme
Bombes 2 Bal,Bal indigène
"Bon Entendeur,Mouloudji","L'amour, l'amour, l'amour"
Bon Voyage Organisation,Goma (Radio Edit)
Bonbon Vodou,Cimetière Créole
Bonne Nuit,Crier Vomir Pleurer
Bonnie Banane,La Lune & Le Soleil
Bonnie Banane,Nini
Bonnie Banane,Sexy Planet
Boris Vian,Le Déserteur
Boulevard des Airs,Bruxelles
Boulevard des Airs,Cielo Ciego
Boulevard des Airs,Paris-Buenos Aires
Brassens l'Africain,Sète au village
Breakbot,Electro Shock 4
Brigitte,A bouche que veux-tu
