Artist_A_rechercher,Artist_Possede,Artist_sim,Album_A_rechercher,Album_Possede,Album_sim,Liste_albums_pos,Path_Possede
Worakls,Worakls,100,Club St Tropez 2014,Orchestra,29,Orchestra,/mnt/m/musiques/__Autres/Worakls/Orchestra
Worakls,Worakls,100,Flocon de Neige,Orchestra,25,Orchestra,/mnt/m/musiques/__Autres/Worakls/Orchestra
NTO,NTO,100,Petite,Utopia _ Porto,30,FOREVER FRIENDS - Invisible - Trauma EP - Utopia _ Porto,/mnt/m/musiques/__Autres/NTO/Utopia _ Porto
"Joachim Pastor,Florence Bird",Joachim Pastor,100,Wayfaring Stranger Radio Edit (feat. Florence Bird),Greater Message,42,Eternity - Fever - Greater Message - The Winning Line,/mnt/m/musiques/__Autres/Joachim Pastor/Greater Message
Sébastien Tellier,Sebastien Tellier,100,Narco,Confection,40,A Girl Is a Gun (Music from the Orig - Confection - Domesticated - L'Aventura - My God Is Blue - Politics - Saint Amour (Bande originale du film - Sessions - Sexuality - Sexuality Remix - Simple Mind - Libre (Original Motion Picture Score),/mnt/m/musiques/__Autres/Sebastien Tellier/Confection
Deluxe,Deluxe,100,Polishing Peanuts EP,ÇA FAIT PLAISIR,50,Boys & Girl - Stachelight - ÇA FAIT PLAISIR,/mnt/m/musiques/__Autres/Deluxe/ÇA FAIT PLAISIR
Deluxe,Deluxe,100,The Deluxe Family Show,ÇA FAIT PLAISIR,33,Boys & Girl - Stachelight - ÇA FAIT PLAISIR,/mnt/m/musiques/__Autres/Deluxe/ÇA FAIT PLAISIR
Noir Désir,Noir Désir,100,En Route Pour La Joie,Des visages des figures,36,666.667 Club - Des visages des figures - Tostaky,/mnt/m/musiques/__Autres/Noir Désir/Des visages des figures
Suarez,Saez,80,L'Indécideur,,0,,
Boulevard des Airs,Bear's Den,57,Bruxelles,,0,,
Boulevard des Airs,Bear's Den,57,Cielo Ciego,,0,,
Boulevard des Airs,Bear's Den,57,Paris-Buenos Aires,,0,,
"Caribou,Luke Lalonde,Adem And One Little Plane",Caribou,100,Melody Day (Four Tet Remix),The Milk Of Human Kindness,28,Andorra - Our Love - Swim - The Milk Of Human Kindness,/mnt/m/musiques/__Autres/Caribou/The Milk Of Human Kindness
Granville,Vanille,75,Les Voiles,,0,,
Brigitte,Brigitte Bardot,70,A bouche que veux-tu,,0,,
Gaëtan Roussel,Guillaume Roussel,71,Ginger,,0,,
Louise Attaque,Louise Attaque,100,Du Monde Tout Autour,Comme On A Dit,41,Comme On A Dit - Louise Attaque - À Plus Tard Crocodile,/mnt/m/musiques/__Autres/Louise Attaque/Comme On A Dit
Mickey 3d,Mel D,57,Tu Vas Pas Mourir De Rire,,0,,
Dionysos,DINNO,62,Western Sous La Neige,,0,,
Tryo,Toro,75,Grain De Sable,,0,,
Tété,The The,73,À la faveur de l'automne,,0,,
Olivia Ruiz,Celia Cruz,67,La Femme Chocolat,,0,,
Pep's,Alpes,60,Suivez le flo,,0,,
Ycare,CAKE,67,La Somone,,0,,
Skip the Use,Suki Waterhouse,67,Can Be Late,,0,,
"Julien Doré,Micky Green",Julien Baker,70,LØVE,,0,,
Christine and the Queens,Mozes And The Firstborn,64,Chaleur Humaine,,0,,
"Nolwenn Leroy,Thomas Dutronc,Zaz,Renan Luce,Jeanne Cherhal,Tété,Rose,Mike Ibrahim,Joyce Jonathan,Christophe Maé",Julien Clerc,56,Le chemin de pierre,,0,,
Joyce Jonathan,Jonathan Wilson,69,Sur Mes Gardes,,0,,
Zazie,"Izzie, Jairos & Alishya",80,Zest Of,,0,,
Zazie,"Izzie, Jairos & Alishya",80,La Zizanie,,0,,
Zazie,"Izzie, Jairos & Alishya",80,Zen,,0,,
"Suprême NTM,Lord Kossity",Suprême NTM,100,Suprême NTM,L'intégrale,36,L'intégrale,/mnt/m/musiques/__Autres/Suprême NTM/L'intégrale
IAM,Iam,100,Anthologie IAM (1991-2004),L'école Du Micro D'argent (Edition Collector),41,L'école Du Micro D'argent (Edition Collector) - Ombre Est Lumière,/mnt/m/musiques/__Autres/Iam/L'école Du Micro D'argent (Edition Collector)
MC Solaar,MC Solaar,100,"Magnum 567 (Pack contenant 3 albums de MC Solaar : Cinquième As, Mach 6 et Chapitre 7)",Cinquième As,36,Chapitre 7 - Cinquième As - Géopoétique - MC Solaar - Paradisiaque - Prose Combat - Qui Sème Le Vent Récolte Le Tempo,/mnt/m/musiques/__Autres/MC Solaar/Cinquième As
MC Solaar,MC Solaar,100,Mach 6,Chapitre 7,38,Chapitre 7 - Cinquième As - Géopoétique - MC Solaar - Paradisiaque - Prose Combat - Qui Sème Le Vent Récolte Le Tempo,/mnt/m/musiques/__Autres/MC Solaar/Chapitre 7
Charlotte Gainsbourg,Charlotte Gainsbourg,100,5:55 (Nouvelle Edition),Hey Joe,18,Hey Joe - IRM - Rest - Stage Whisper,/mnt/m/musiques/__Autres/Charlotte Gainsbourg/Hey Joe
Florence + The Machine,Florent Marchet,74,Between Two Lungs,,0,,
Emilie Simon,Emilie Zoé,73,Versions,,0,,
Emilie Simon,Emilie Zoé,73,Mue,,0,,
Emilie Simon,Emilie Zoé,73,Franky Knight,,0,,
AaRON,Aaron,100,U-Turn (Lili),We Cut The Night,27,Anatomy Of Light - Artificial Animals Riding On Neverland - Birds In The Storm - Waves From The Road [Live] - We Cut The Night,/mnt/m/musiques/__Autres/Aaron/We Cut The Night
Superbus,Superbus,100,Wow,OK KO,25,OK KO,/mnt/m/musiques/__Autres/Superbus/OK KO
Superbus,Superbus,100,Pop'n'Gum,OK KO,29,OK KO,/mnt/m/musiques/__Autres/Superbus/OK KO
Joris Delacroix,Joris Delacroix,100,Maeva's,Room With View,29,Night Visions - Room With View,/mnt/m/musiques/__Autres/Joris Delacroix/Room With View
"Joris Delacroix,Greg Delon",Joris Delacroix,100,Dumb & Clyde,Room With View,17,Night Visions - Room With View,/mnt/m/musiques/__Autres/Joris Delacroix/Room With View
Vitalic,Vitalic,100,Flashmob,OK Cowboy,24,Dissidænce Episode 2 - OK Cowboy - Rave Age - V Live,/mnt/m/musiques/__Autres/Vitalic/OK Cowboy
Mr. Oizo,Novo Amor,62,Flat Beat,,0,,
Etienne de Crécy ,Étienne Charry,73,Super Discount,,0,,
"Etienne de Crécy ,Madeline Follin",Étienne Charry,73,You (feat. Madeline Follin),,0,,
Kavinsky,Kavinsky,100,OutRun,Reborn,50,Nightcall - Reborn - Zenith,/mnt/m/musiques/__Autres/Kavinsky/Reborn
Yuksek,YSE,67,Living On The Edge Of Time,,0,,
Yuksek,YSE,67,Away From The Sea (Version Japonaise),,0,,
The Toxic Avenger,The Avener,74,Angst,,0,,
