Artist_A_rechercher,Artist_Possede,Artist_sim,Album_A_rechercher,Album_Possede,Album_sim,Liste_albums_pos,Path_Possede
As The Stars Fall,As The Stars Fall,100,Artificial Sun,Tempus Fugit,31,Autres - Redux - Tempus Fugit - Untitled,/mnt/m/musiques/__Autres/As The Stars Fall/Tempus Fugit
Uniform Motion,Uniform Motion,100,Life,Instrumental Life,38,5 - Altered Covers - Instrumental Life - One Frame Per Second - The Magic Empire - Uniform Motion - Altered Covers - Whatever That Is,/mnt/m/musiques/__Autres/Uniform Motion/Instrumental Life
Anne Queffélec,Anne Dudley,64,Klapisch Musiques,,0,,
The Blue Notes,The Blues Brothers,81,Valiant Hearts: The Great War - Little Trinketry (Cover Version),,0,,
Lorne Balfe,Lorne Balfe,100,Emotive Piano Scores,Ambulance,34,Ambulance - Top Gun Maverick,/mnt/m/musiques/__B.O/Ambulance - Lorne Balfe
"Chris Allen,Alex Johnson,Steve Satterthwaite",Lily Allen,67,Emotive Piano Scores,,0,,
Daniel Teper,Daniel Hope,78,Emotive Piano Scores,,0,,
Ian Livingstone,Angus & Julia Stone,62,Emotive Piano Scores,,0,,
Les Gordon,Les Gordon,100,Moon Landing,La,29,ALTURA - Françoise - Brigitte - La - Nuances,/mnt/m/musiques/__Autres/Les Gordon/La
"GMPresents & Jocelyn Scofield,GMPresents,Jocelyn Scofield",Mes Souliers Sont Rouges,51,Skyfall,,0,,
"Erik Satie,Daniel Varsano",Erik Satie,100,Satie: Piano Works,Piano Works,79,"Complete Piano Works, Volume 5 - Complete Piano Works, Volume 6 - Erik Satie_ Alexandre Tharaud - Piano Works",/mnt/m/musiques/__Autres/Erik Satie/Piano Works
"Ella Fitzgerald,The Ink Spots",Ella Fitzgerald,100,The Songs of Wasteland: Music as heard in Fallout 3 - EP,Twelve Nights In Hollywood!,42,Twelve Nights In Hollywood!,/mnt/m/musiques/__Autres/Ella Fitzgerald/Twelve Nights In Hollywood!
Erik Satie,Erik Satie,100,Gymnopédies,"Complete Piano Works, Volume 5",30,"Complete Piano Works, Volume 5 - Complete Piano Works, Volume 6 - Erik Satie_ Alexandre Tharaud - Piano Works","/mnt/m/musiques/__Autres/Erik Satie/Complete Piano Works, Volume 5"
Buddy Holly,Buddy Holly,100,The Very Best Of Buddy Holly,Buddy Holly,56,20th Century Masters  The Millennium Collection  The Best of Buddy Holly - Buddy Holly,/mnt/m/musiques/__Autres/Buddy Holly/Buddy Holly
Captain Kid,Captain Kid,100,We & I,X or Y,20,67 Songs (Captain Kid) - X or Y,/mnt/m/musiques/__Autres/Captain Kid/X or Y
Karen O,Karen O,100,The Moon Song (Music from and Inspired by the Motion Picture Her),Crush Songs,42,Crush Songs - Lux Prima - Where The Wild Things Are Motion Pic,/mnt/m/musiques/__Autres/Karen O/Crush Songs
"Scarlett Johansson,Joaquin Phoenix",Scarlett Rose,71,The Moon Song (Music from and Inspired by the Motion Picture Her),,0,,
The Stereoscopic Orchestra,The No Smoking Orchestra,68,Anime Stars - The Anime Themes Collection,,0,,
Anime Kei,The Animen,74,L's Themes (The Greatest Instrumental Themes from Death Note),,0,,
"Caribou,Luke Lalonde,Adem And One Little Plane",Caribou,100,Melody Day (Four Tet Remix),The Milk Of Human Kindness,28,Andorra - Our Love - Swim - The Milk Of Human Kindness,/mnt/m/musiques/__Autres/Caribou/The Milk Of Human Kindness
"Franz Schubert,Jenő Jandó",Ezy Schubert,77,Schubert: Impromptus (Complete),,0,,
"Richard Wagner,Mariss Jansons,Oslo Philharmonic Orchestra",Shearwater,58,Wagner: Overtures and Preludes from the Operas,,0,,
Jenő Jandó,Jenö Jandó,100,"100 Must-Have Movie Classics, Vol. 2",Elephant,19,Elephant,/mnt/m/musiques/__B.O/Elephant - Jenö Jandó
"Ludwig van Beethoven,Jenő Jandó",Loredana Bertè,53,"Beethoven: Piano Sonatas Nos. 8, 14 and 23",,0,,
"Franz Schubert,Barbara Bonney,Geoffrey Parsons",Ezy Schubert,77,"Schubert: Ave Maria, Die Forelle, Heidenröslein & Other Lieder",,0,,
"Erik Satie,Alexandre Tharaud",Erik Satie,100,Satie: Avant-dernières pensées (Bonus Track Version),Erik Satie_ Alexandre Tharaud,48,"Complete Piano Works, Volume 5 - Complete Piano Works, Volume 6 - Erik Satie_ Alexandre Tharaud - Piano Works",/mnt/m/musiques/__Autres/Erik Satie/Erik Satie_ Alexandre Tharaud
Nino Rota,Nino Rota,100,The Godfather (Soundtrack),La Dolce Vita,31,La Dolce Vita,/mnt/m/musiques/__B.O/La Dolce Vita - Nino Rota
"Danger Mouse,Daniele Luppi,Norah Jones",Angel Olsen,70,Rome,,0,,
Helm & Heik,Them & I,67,2 Glorreiche 7,,0,,
"Gareth Coker,Aeralie Brighton",Gareth Donkin,72,Ori and the Blind Forest (Original Soundtrack),,0,,
Counting Crows,Counting Crows,100,Cruel Intentions,This Desert Life,44,Across A Wire- Live In New York City [Disc 1] - Across A Wire- Live In New York City [Disc 2] - August & Everything After - August & Everything After- Live At Town Hall - Hard Candy - Recovering The Satellites - This Desert Life,/mnt/m/musiques/__Autres/Counting Crows/This Desert Life
Goldfrapp,Goldfrapp,100,Wonderful Electric - Live In London,Silver Eye,37,Felt Mountain - Head First - Silver Eye - Tales of Us - The Singles,/mnt/m/musiques/__Autres/Goldfrapp/Silver Eye
"Frédéric Chopin,Pascal Amoyel",Electrick Children,61,"1846, dernière année à Nohant - Chopin: Cello Sonata; Piano Works",,0,,
Mark Kozelek,Mark Kozelek,100,Youth - La giovinezza (Colonna Sonora Originale),Like Rats,36,Like Rats - Mark Kozelek - Mark Kozelek Sings Favorites,/mnt/m/musiques/__Autres/Mark Kozelek/Like Rats
Frank Sinatra,Frank Sinatra,100,Ultimate Sinatra,In the Wee Small Hours 1955,37,"Close To You - Come Dance With Me! - In the Wee Small Hours 1955 - Nice, n' Easy - Come Swing with Me! - No One Cares - Come Fly With Me - PoInt Of No Return - All Alone - Sings for Only the Lonely - Songs for Young Lovers - Songs For Swingin' Lovers! - Swing Along With Me - Swing Easy! - A Swingin' Affair! - Where Are You-",/mnt/m/musiques/__Autres/Frank Sinatra/In the Wee Small Hours 1955
Chet Atkins,The Kinks,70,The Essential Chet Atkins,,0,,
"Erik Satie,Roland Pöntinen",Erik Satie,100,Satie: Piano Music,Piano Works,50,"Complete Piano Works, Volume 5 - Complete Piano Works, Volume 6 - Erik Satie_ Alexandre Tharaud - Piano Works",/mnt/m/musiques/__Autres/Erik Satie/Piano Works
"Fyfe,Iskra Strings",Fyfe,100,Fyfe & Iskra Strings EP 1,The Space Between,32,Control - Extended Play - Interiority - The Space Between,/mnt/m/musiques/__Autres/Fyfe/The Space Between
Víg Mihály,Raoul Vignal,55,Filmzenék Tarr Béla Filmjeihez (Underground Katalógus),,0,,
"Franz Schubert,Trio Wanderer",Ezy Schubert,77,Schubert: Piano Trios Nos. 1 & 2; Notturno; Sonatensatz,,0,,
London Piano Players,London Music Works,58,Emotional Movie Themes on the Piano,,0,,
Philip Glass,Glass Philip,100,The Truman Show (Music from the Motion Picture of Peter Weir),Philip Glass- A Brief History Of Time (Soundtrack To The Film By Errol Morris),31,Glass- Jukebox [Disc2] - Glass- Oeuvres Majeures [Disc 1] - Glass- Oeuvres Majeures [Disc 2] - Koyaanisqatsi - Philip Glass- A Brief History Of Time (Soundtrack To The Film By Errol Morris) - Visitors,/mnt/m/musiques/__Autres/Glass Philip/Philip Glass- A Brief History Of Time (Soundtrack To The Film By Errol Morris)
Anne Sophie Versnaeyen,Anne-Sophie Versnaeyen,100,Lovecraft,Soul Stories (Emotional Orchestral Drama Tracks),29,Soul Stories (Emotional Orchestral Drama Tracks) - Soul Stories 2 (Emotional Orchestral Drama Tracks) - Soul Stories 3 - Emotional Orchestral Drama Tracks,/mnt/m/musiques/__Autres/Anne-Sophie Versnaeyen/Soul Stories (Emotional Orchestral Drama Tracks)
Burkhard Dallwitz,Tyler Burkhart,58,The Truman Show (Music from the Motion Picture of Peter Weir),,0,,
"Rick Clark,London Music Works",Clarika,71,Silva Screen Originals Vol. 2,,0,,
