Artist,Album,Status,Cote,Artiste_Bibliotheque,Autres_albums_biblio,Artiste_Qobuz,Album_Qobuz,Disponibilité,Qobuz_URL
"-M-,Jordan Cauvin,Thibault Cauvin",Cities II,Part-Dieu Not Listed,,,,,,,
17 Hippies,20 Years 17 Hippies - Anatomy,Part-Dieu Not Listed,,,"Biester - D 21182, Heimlich - D 46535, El dorado - D 50283, Phantom songs - D 62226, Ifni ifni - D 39410",17 hippies,20 Years 17 Hippies - Anatomy,,https://play.qobuz.com/album/0884463799431
17 Hippies,El Dorado,Found,D 50283,17 Hippies,"Phantom songs - D 62226, Sirba - D 23287, Ifni ifni - D 39410",17 hippies,El Dorado,En rayon,https://play.qobuz.com/album/ga67b5393zm1b
"39 Femmes,Mayra Andrade,Jennifer Ayache,Nawel Ben Kraïem,Blondino,Brigitte,Karen Brunon,Buridane,Amina Cadelli,Barbara Carlotti,Chat,Les coquettes,Anaïs Croze,Camille Faure,Alma Forrer,Zaza Fournier,Élodie Frégé,Hollysiz,Agnès Jaoui,MAI LAN","Debout les femmes (feat. Mayra Andrade, Jennifer Ayache, Nawel Ben Kraïem, Blondino, Brigitte, Karen Brunon, Buridane, Amina Cadelli, Barbara Carlotti, Chat, Les Coquettes, Anaïs Croze, Camille Faure, Alma Forrer, Zaza Fournier, Elodie Frégé, HollySiz, Agnès Jaoui, Mai Lan, Clara Luciani, Luciole, Madjo, Carole Masseport, Inna Modja, Sandra Nkaké, Ornette, Lili Poe, Pomme, Barbara Pravi, Olivia Ruiz, La Grande Sophie, Elisa Tovati, Calypso Valois, Diane Villanueva, Clea Vincent & Julie Zenatti) [39 Femmes]",Part-Dieu Not Listed,,,"Oeuvres pour orchestre et formations de chambre - D 27130, Jehan Alain retrouvé : Intégrale de l'oeuvre vocale - D 19945",39 femmes,,,https://play.qobuz.com/artist/4170801
ASPHALT,Lame de fond,Part-Dieu Not Listed,,,"Amusement parks on fire - D 18322, Le Meilleur des mondes - D 04270, Demain le sud - D 07993",asphalt,Lame de fond,,https://play.qobuz.com/album/kedcx4nr3o534
"ASPRA,Lena Platonos",Markos (French Version),Part-Dieu Not Listed,,,,aspra,Markos (French Version),,https://play.qobuz.com/album/poimgvqksz5ea
AaRON,U-Turn (Lili),Found,D 51100,AaRON,"We cut the night - D 56231, Waves from the road : live - D 56229, Anatomy of light - D 67396, Birds in the storm - D 38170",aaron,,En rayon,https://play.qobuz.com/artist/53368
"Adèle Castillon,Videoclub",Plaisir Risque Dépendance,Found,788.CAS 5,Castillon,Crèvecoeur - 788.CAS 5,adele castillon,Plaisir Risque Dépendance,En rayon,https://play.qobuz.com/album/b1m89c8td8hcc
"Al'Tarba,Degiheugi","Le Cabinet des Curiosités, Vol. I",Part-Dieu Not Listed,,,"Escuela de Fez : Musica andalusi - D 48810, Al-Samâa : audition spirituelle extatique : Maroc - D 45580 - Prêté",al tarba,La Fin des Contes,,https://play.qobuz.com/album/xfgs8gqqo9qzb
Alain Bashung,Fantaisie Militaire,Found,D 69791,Bashung,"Tels Alain Bashung - 788.A 44, Osez Bashung - 788.BAS 42, Triple best of de la chanson française 1980-2000 - 788.A 5 - Prêté",alain bashung,Fantaisie Militaire,En rayon,https://play.qobuz.com/album/0060253732690
