Artist,Album,Status,Cote,Artiste_Bibliotheque,Autres_albums_biblio,Artiste_Qobuz,Album_Qobuz,Disponibilité,Qobuz_URL
Alice Costelloe,Move On With The Year,Part-Dieu Not Listed,,,,alice costelloe,Move On With The Year,,https://play.qobuz.com/album/fxezw3bo6nnhb
Alice Costelloe,When It's the Time,Part-Dieu Not Listed,,,,alice costelloe,When It's the Time,,https://play.qobuz.com/album/mhktolpxvdyma
Anri,杏里 夏盤,Part-Dieu Not Listed,,,,anri,,,https://play.qobuz.com/artist/649610
Arctic Monkeys,Favourite Worst Nightmare,Found,782.ARC 61 - D 67114,Arctic Monkeys,"AM - D 20754, Suck it and see - D 35343, Tranquility base hotel + casino - D 61055",arctic monkeys,Favourite Worst Nightmare,En rayon - En rayon,https://play.qobuz.com/album/5034202018858
Baby Bugs,Bible Belt,Part-Dieu Not Listed,,,,baby bugs,Bible Belt,,https://play.qobuz.com/album/vv7tr8vctkp5a
Blick Bassy,1958,Found,789.15 BAS 2,Bassy,"Léman - D 33151, Madiba - 789.15 BAS 2, Akö - 789.15 BAS 2",blick bassy,1958,En rayon,https://play.qobuz.com/album/y9763c67ocllb
Blood Red Sun,Pressure Lover,Part-Dieu Not Listed,,,,blood red sun,Pressure Lover,,https://play.qobuz.com/album/j0pb224x5a6wb
D3lta,Kids,Part-Dieu Not Listed,,,"Claude François, son dernier concert du 24 février 1978, Palais d'Hiver de Lyon. - Chomarat DISQ 2044, Carmen D3 - D 02288",d3lta,Kids,,https://play.qobuz.com/album/dni25jopesufa
Daedr1k,Cold Summer,Part-Dieu Not Listed,,,"Bastien et Bastienne K. 50 : singspiel en 1 acte Lieder K. 349 et K. 351 - D 16876, Hostile : une spéciale pour les halls vol.2 - D 33067 V.02",daedr1k,Cold Summer,,https://play.qobuz.com/album/k97q3yqjsuyfw
Devendra Banhart,Cripple Crow,Found,D 43415 - Prêté,Banhart,"The black & white skins vol. 1 - D 08911 V.01, Mala - D 36274 - Prêté, Flying wig - D 73150, Ma - D 65471",devendra banhart,Cripple Crow,Retour prévu le : 30/05/2026,https://play.qobuz.com/album/bhhjotxz94fdc
Dirty Nice,Surrenderland,Part-Dieu Not Listed,,,,dirty nick,,,https://play.qobuz.com/artist/7833010
Disappeared Completely,Not With Me,Part-Dieu Not Listed,,,,disappeared completely,Not With Me,,https://play.qobuz.com/album/ndn7cx88c2ldp
Ea Othilde,I Will Not Be Like That,Part-Dieu Not Listed,,,,ea othilde,I Will Not Be Like That,,https://play.qobuz.com/album/jtml9wvpzoglc
Elk Darling,The Cecil Hotel,Part-Dieu Not Listed,,,,elk darling,The Cecil Hotel,,https://play.qobuz.com/album/tz88vp2el3y1r
Esther,Miss Congeniality,Part-Dieu Not Listed,,,"Esther : HWV 50 : oratorio en 6 scènes - D 34362, The Best of Esther Phillips - D 33617",esther,Miss Congeniality,,https://play.qobuz.com/album/aejeuwf2g84ri
FIL BO RIVA,Beautiful Sadness (Deluxe Edition),Part-Dieu Not Listed,,,,fil bo riva,Beautiful Sadness (Deluxe Edition),,https://play.qobuz.com/album/fuwcobhyisedc
"Ghostpoet,Paul Smith",Shedding Skin,Found,D 59333,Ghostpoet,"I grow tired but dare not fall asleep - 784.GHO 51, Some say I so I say light - D 48527, Peanut butter blues and melancholy jam - D 38552, Dark days + canapés - D 56323",ghostpoet,Shedding Skin,En rayon,https://play.qobuz.com/album/5414939917257
Gracie Abrams,The Secret of Us (Deluxe),Part-Dieu Not Listed,,,"Good riddance - D 69969, The secret of us - 782.ABR 23",gracie abrams,The Secret of Us (Deluxe),,https://play.qobuz.com/album/n1o0zzzifzwda
James Supercave,Better Strange,Part-Dieu Not Listed,,,,james supercave,Better Strange,,https://play.qobuz.com/album/0005008733619
"John Grant,Sinéad O'Connor",Pale Green Ghosts,Found,D 47765,Grant,"Lazy dog : Deep house music mixed by Ben Watt and Jay Hannan - D 11393, The Best of Big John Patton - The organization! - D 11265",john grant,Pale Green Ghosts,En rayon,https://play.qobuz.com/album/5414939462177
Kanadia,Kanadia,Part-Dieu Not Listed,,,,kanadia,Kanadia,,https://play.qobuz.com/album/i54mju5gsr7sa
"Karen O,Michael Kiwanuka",YO! MY SAINT (Radio Version),Part-Dieu Not Listed,,,"Femmes celtes = Celtic women - 789.7 A 082, Crush songs - D 46851",karen o,YO! MY SAINT (Radio Version),,https://play.qobuz.com/album/u0svuxiapvfrb
Kosco,Supermoon,Part-Dieu Not Listed,,,,kosco,Supermoon,,https://play.qobuz.com/album/uusp6y4ymzyeb
"Laurent Bardainne,Melissa Weikart",This Is Your Song,Part-Dieu Not Listed,,,"Eden Beach Club - 781.3 BAR 8, Love is everywhere - 781.3 BAR 8 - Prêté, Hymne au soleil - 781.3 BAR 8",laurent bardainne,This Is Your Song,,https://play.qobuz.com/album/e1svycay1kbko
