Artist,Album,Status,Cote,Artiste_Bibliotheque,Autres_albums_biblio,Artiste_Qobuz,Album_Qobuz,Disponibilité,Qobuz_URL
2dypoy,H i j o D e L a L u n a (Orchestra),Part-Dieu Not Listed,,,"La Barre à terre n 2 - D 65252 V.09, Red & green - 789.18 TOU 2, Small Axe 2 : 200% indépendant - D 29823",,,,
"A Winged Victory for the Sullen,Adam Wiltzie,Dustin O'Halloran",The Undivided Five,Part-Dieu Not Listed,,,"Invisible cities - D 67052, Iris - D 69246",a winged victory for the sullen,The Undivided Five,,https://play.qobuz.com/album/krjk4bgx544xc
"A.S Dragon,Bertrand Burgalat",Bertrand Burgalat Meets A.S Dragon,Part-Dieu Not Listed,,,,,,,
ABAY,"Conversions, Vol. 1 - EP",Part-Dieu Not Listed,,,Gigi - D 19549,abay,"Conversions, Vol. 1",,https://play.qobuz.com/album/4042564175981
Abdullah Yazbahar,In the Grocery Store,Part-Dieu Not Listed,,,,,,,
Abel Korzeniowski,Emily: Original Motion Picture Soundtrack,Part-Dieu Not Listed,,,A single man - D 61633,abel korzeniowski,Emily: Original Motion Picture Soundtrack,,https://play.qobuz.com/album/x0u6380r7asrb
Abel Korzeniowski,Penny Dreadful (Music From The Showtime Original Series),Part-Dieu Not Listed,,,A single man - D 61633,abel korzeniowski,Penny Dreadful (Music From The Showtime Original Series),,https://play.qobuz.com/album/0003020672986
Abel Korzeniowski,W.E. - Music From The Motion Picture,Part-Dieu Not Listed,,,A single man - D 61633,abel korzeniowski,Escape From Tomorrow (Original Motion Picture Score),,https://play.qobuz.com/album/jgi2edxp7dlzb
"Abel Korzeniowski,Jasper Randall,The Hollywood Studio Symphony",Romeo and Juliet,Part-Dieu Not Listed,,,A single man - D 61633,abel korzeniowski,Romeo & Juliet,,https://play.qobuz.com/album/0886444001748
Abraham Fogg,Blåkulla,Part-Dieu Not Listed,,,,abraham fogg,Blåkulla,,https://play.qobuz.com/album/k874sc8l8ob4b
Acid Pauli,Mst,Part-Dieu Not Listed,,,,acid pauli,mst,,https://play.qobuz.com/album/k2ke2jyaq38sc
"Acollective,RABINO,Roy Rieck",The Coming of Light,Part-Dieu Not Listed,,,,acollective,The Coming of Light,,https://play.qobuz.com/album/3614979768808
Ada,Moon Rider EP,Part-Dieu Not Listed,,,"A bugged out mix A bugged in selection - D 36281, Arthur - D 10136",ada,Moon Rider,,https://play.qobuz.com/album/d7ds86yk18wna
Adrián Berenguer,The Journey,Part-Dieu Not Listed,,,,adrian berenguer,The Journey,,https://play.qobuz.com/album/zi6myu359tuub
Aestetica,Above Us,Part-Dieu Not Listed,,,,aestetica,,,https://play.qobuz.com/artist/15634858
Ahmed Malek,Musique Originale De Films: Deuxième Tome (Habibi Funk 027),Part-Dieu Not Listed,,,Musique originale de films. 2 / - 786.2 MAL 2,ahmed malek,Musique Originale De Films: Deuxième Tome (Habibi Funk 027),,https://play.qobuz.com/album/yco4o8odbtrfa
Akusmi,Fleeting Future,Part-Dieu Not Listed,,,,akusmi,Fleeting Future,,https://play.qobuz.com/album/f6ml1d1jp2v0b
Akın Sevgör,Reveries,Part-Dieu Not Listed,,,,ak n sevgor,Reveries,,https://play.qobuz.com/album/av30ung8vnmgb
Al Bowlly,Goodnight Sweetheart,Part-Dieu Not Listed,,,,al bowlly,Goodnight Sweetheart (HMV Recordings of 1929 - 1931),,https://play.qobuz.com/album/nnoujofzw24rc
Alain Romans,Sonorama !,Part-Dieu Not Listed,,,,alain romans,,,https://play.qobuz.com/artist/51595
Alban Claudin,It's a Long Way to Happiness,Part-Dieu Not Listed,,,Room of reflection - 785.51 CLA,alban claudin,It's a Long Way to Happiness,,https://play.qobuz.com/album/fdmog2j4vevqb
Albert Hammond Jr,Como Te Llama?,Part-Dieu Not Listed,,,"Francis trouble - D 60006, Como te llama? - D 26625, Yours to keep - D 23729",albert hammond jr,¿Como Te Llama?,,https://play.qobuz.com/album/0883870045865
