#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Porto - Mix","Worakls",128,4B,71,2015-10-05,05:30,0,"techno minimale, techno mélodique, électro","Club St Tropez 2014",2014-06-30,68,0,84,20,0,10,-7,G#/A♭ Major,4,2a23NJzyZneFwKmu9IDS84,FR52F1462303
2,"Flocon de Neige","Worakls",115,8A,54,2015-10-05,06:20,0,"techno minimale, techno mélodique, électro","Flocon de Neige",2014-03-25,67,55,90,4,0,0,-12,A Minor,4,5dRcHQnH0EQUTMUSJrpaug,DEAR41418241
3,"Trauma","NTO",127,10B,54,2015-10-05,13:30,31,"techno mélodique, techno minimale, électro, techno","Trauma EP",2010-00-00,34,1,90,25,0,0,-9,D Major,4,4jTlhnW8wp7ANU36iRgbQK,FR6V80361368
4,"Petite","NTO",125,5A,60,2015-10-05,07:19,0,"techno mélodique, techno minimale, électro, techno","Petite",2014-04-14,83,3,77,38,10,0,-10,C Minor,4,5mn7vJz5EwCXUrjlRl3jZt,DEAR41411627
5,"Wayfaring Stranger - AKA AKA & Thalstroem's Radio Edit","Joachim Pastor,Florence Bird",124,8B,64,2015-10-05,03:54,0,"techno mélodique, techno minimale","Wayfaring Stranger Radio Edit (feat. Florence Bird)",2014-02-03,70,10,51,43,0,10,-8,C Major,4,5iA7et57oSUthm92mlKB93,DECY51424151
6,"La Ritournelle","Sébastien Tellier",103,5A,75,2015-10-05,07:35,0,"house française, pop française indie, downtempo","Narco",2003-00-00,56,0,46,59,0,0,-10,C Minor,4,2zAcsTUNxD9pRwzB6euNOy,FRS710300071
7,"Look","Sébastien Tellier",90,6A,39,2015-10-05,04:34,0,"house française, pop française indie, downtempo","Sexuality",2008-02-19,91,57,60,83,0,10,-8,G Minor,4,33OyoNO9ENnAfmoVQH8OH9,FRS710700006
8,"All I Need (feat. Beth Hirsch)","Air,Beth Hirsch",190,6A,43,2015-10-05,04:28,69,"trip-hop, downtempo","Moon Safari",1998-01-16,37,86,0,21,0,10,-12,G Minor,4,6T10XPeC9X5xEaD6tMcK6M,FRS639700570
9,"Playground Love (with Gordon Tracks)","Air,Gordon Tracks",143,6A,42,2015-10-05,03:32,0,"trip-hop, downtempo, ","The Virgin Suicides (Deluxe Version - 15th Anniversary)",2000-00-00,35,25,85,14,0,30,-11,G Minor,4,0qSkffeyk2FEIumqDgsYP1,FR71S9900001
10,"Breathe","Télépopmusik",114,3B,65,2015-10-05,04:56,0,"trip-hop, downtempo","genetic world",2001-04-30,69,42,41,57,0,30,-14,C♯/D♭ Major,4,46LwAOzg3UYvxiXyyaFedz,FR06S0100640
11,"Fever","Télépopmusik,Betty Black",124,7A,69,2015-10-05,04:04,38,"trip-hop, downtempo, ","Try Me Anyway / Fever",2013-11-25,60,17,87,37,0,10,-9,D Minor,4,4Xeh21zVft8BHH7BS0IoUb,FR6V81785535
12,"Make My Day","Waldeck",94,2A,79,2015-10-05,02:48,0,"électro swing, nu jazz, trip-hop, downtempo, swing","Ballroom Stories",2007-09-10,79,61,1,58,10,0,-6,D#/E♭ Minor,4,2O7awM5LNWprnJ01Pp6gB0,ATW630702301
13,"I've got that tune","Chinese Man",90,9A,79,2015-10-05,04:29,52,"électro swing, trip-hop, nu jazz","Groove Sessions",2007-01-09,78,39,82,81,0,60,-6,E Minor,4,6ZOeDXutLpSGqA1sSL6LrL,FR6V80627179
14,"Washington Square","Chinese Man,Bionic Man Sound",89,9A,75,2015-10-05,04:10,52,"électro swing, trip-hop, nu jazz, ","Groove Sessions",2007-01-09,68,38,0,76,0,10,-7,E Minor,4,0phAx12SI8oWN1AmhyceSQ,FR6V80627178
15,"Seize the Day - Phonovisions Symphonic Version","Wax Tailor",83,11A,66,2015-10-05,03:06,0,"trip-hop, plunderphonics, nu jazz, downtempo, électro swing","Phonovisions Symphonic Orchestra",2014-11-03,61,32,48,55,0,30,-8,F#/G♭ Minor,4,7FEjBDjvdXkehlo2FrGIge,FR2DK1400230
16,"Heart Stop","Wax Tailor,Jennifer Charles",100,3B,69,2015-10-05,02:55,0,"trip-hop, plunderphonics, nu jazz, downtempo, électro swing, rock industriel","Dusty Rainbow from the Dark",2012-09-10,72,8,9,85,0,30,-7,C♯/D♭ Major,4,0tNnfmLnPFjYQkYYHMCpNn,FR2DK1200050
17,"Whistle","Sporto Kantès",87,11B,79,2015-10-05,02:54,0,"trip-hop","3 At Last",2008-04-20,68,21,0,95,0,0,-4,A Major,4,2CwUBDVNKMtTSIWc7Jc4h7,FRW460800120
18,"Lee","Sporto Kantès",122,3B,86,2015-10-05,02:56,0,"trip-hop","2nd Round",2004-00-00,80,33,0,71,0,0,-4,C♯/D♭ Major,4,16xBrnTGYtrYNdpVNTsjF7,FR06S0400030
19,"Chinese Puzzle - 20SYL Remix","Kraked Unit",98,1A,67,2015-10-05,02:50,0,"","Casse Tête Chinois (Bande originale du film de Cédric Klapisch)",2013-12-02,73,4,0,75,10,20,-6,G#/A♭ Minor,4,3yt1SZoikmwefM5UNFJmD3,FR6V82060959
20,"If I Had My Way","Kraked Unit,Mike Ladd,Lyrics Born,Lateef",98,3B,87,2015-10-05,03:30,0,"jazz éthiopien, hip-hop expérimental, ","Casse Tête Chinois (Bande originale du film de Cédric Klapisch)",2013-12-02,73,18,0,59,0,0,-4,C♯/D♭ Major,4,0iJSd0I2tSoieMOsk7MlTp,FR6V82060954
21,"Peace and Tranquility to Earth","Roudoudou",98,11A,63,2015-10-05,04:13,49,"house française, trip-hop","Listener's Digest",1998-00-00,70,1,39,17,0,10,-7,F#/G♭ Minor,4,7jKp4Yl1p89ByCMOjh2fHR,FRY689701830
22,"Pony","Deluxe",103,3A,59,2015-10-05,03:28,53,"électro swing","Polishing Peanuts EP",2011-11-28,74,5,1,80,10,0,-9,A#/B♭ Minor,4,6xVfTx01TnGrzH1mqXfOmf,FRP7S1100190
23,"My Game","Deluxe",115,3B,73,2015-10-05,03:35,50,"électro swing","The Deluxe Family Show",2013-09-23,79,25,0,89,0,0,-5,C♯/D♭ Major,4,22e6sT2Pu8kXpJeItO0xGg,FRP7S1300023
