# ,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Golden Girls","Devendra Banhart",120,9A,35,2016-04-30,01:35,41,"","Mala",2013-03-08,55,96,85,30,0,30,-16,E Minor,4,4MWAort85sV8gJoi4CMI5S,USNO11200491
2,"Catamaran","Allah-Las",122,9A,85,2016-04-30,03:32,0,"musique néo-psychédélique, surf rock, rock psychédélique","Allah-Las",2012-09-18,56,1,0,70,0,0,-6,E Minor,4,0y6Mp5Y1OxHtzxi6AwewPt,USD8D2007001
3,"Down the West Side","M+A",120,9A,75,2016-04-30,03:55,18,"","These Days",2013-09-30,67,31,0,87,0,10,-8,E Minor,4,3PzVdQUe51QlmzZNwPJrXE,GBNTT1300029
4,"Feelin' High (feat. Blitz The Ambassador)","Ben Mazué,Blitz The Ambassador",175,3B,91,2016-04-30,02:46,21,"pop française, variété française, chanson, house française, pop française indie, ","Ben Mazué",2011-09-30,61,7,0,83,0,40,-4,C♯/D♭ Major,4,6XtigrCIN7f5uguO1qvRUp,FRZ081100517
5,"Dans tes yeux","Anis",182,6B,40,2016-04-30,04:01,46,"chanson, variété française","Rodéo Boulevard",2008-10-03,50,51,0,31,0,20,-9,A#/B♭ Major,4,1jO3MaCjrRQusiqkZQPA9h,FRZ110801171
6,"Harlem River","Kevin Morby",119,12A,47,2016-04-30,09:15,0,"","Harlem River",2013-11-26,61,26,40,49,0,10,-10,C♯/D♭ Minor,4,0cDQyfkR7kYIBITKccaDmN,US2FD1310054
7,"Darling, Darling, Darling...","Chapelier Fou",106,9A,37,2016-04-30,04:37,0,"trip-hop","Darling, Darling, Darling...",2009-05-18,79,77,82,43,0,0,-7,E Minor,3,2f7MnZ5YFMzZUFODvBsPDh,FR24Q0936001
8,"To Be Alone With You","Sufjan Stevens",142,5A,16,2016-04-30,02:48,0,"pop baroque","Seven Swans",2004-03-16,52,93,75,36,0,10,-18,C Minor,4,3tchJ8gDgMdaSxpaLxlr1F,USG4M0451304
9,"Améthys","Témé Tan",192,2A,53,2016-04-30,03:33,0,"","Améthys",2016-01-15,47,37,0,80,10,0,-9,D#/E♭ Minor,4,4sbZKbgLROWR30SpzHcsFf,BECE31400001
10,"New Fashioned Girl","PowerSolo",97,10B,84,2016-04-30,03:12,0,"psychobilly, rockabilly","The Real Sound (The Amazing Intercontinental Ballistic Railthin Brothers Presenting)",2014-09-02,68,74,0,95,0,10,-2,D Major,4,5NwTF9k0RERMvv1zQD6jl4,DKMFA1400507
11,"La Mano Encima","Plaza Francia Orchestra",101,11A,55,2016-04-30,03:58,0,"tango","A New Tango Song Book",2014-04-07,78,45,0,60,0,10,-8,F#/G♭ Minor,4,5WFD4x9sdmepLokHKeYZaV,FR6P11400210
12,"Ce soir","Monogrenade",130,9A,58,2016-04-30,03:50,0,"rock québécois, musique indie québécoise, pop québécoise","La saveur des fruits",2009-06-30,62,3,70,18,0,10,-10,E Minor,4,4a675KMgLx12focIBHlgd2,CAP430900545
13,"Scattered Ashes (Song For Richard)","Minor Victories",114,9B,88,2016-04-30,04:17,0,"shoegaze","Scattered Ashes (Song For Richard)",2016-04-20,43,0,0,10,0,0,-5,G Major,4,2Pz8vsz2ViJFvzWmHv4O2G,GBENL1601558
14,"Que vais-je en faire ? (Pendentif remix)","Jérôme Echenoz",126,7A,87,2016-04-30,03:25,0,"pop française indie, pop française","Le chrome et le coton",2012-00-00,70,4,0,83,0,20,-6,D Minor,4,4KHgWr1pGO5bqALPN7Isgq,FR9W11215480
15,"Vodka fraise","Zaza Fournier",112,6A,79,2016-04-30,04:36,0,"pop française","Regarde-Moi",2011-05-27,59,3,0,54,0,10,-4,G Minor,4,673RSRNPwmh1QOKC7XeSqw,FRZ041100096
16,"Piano's On The Beach","Jacques Renault",100,9A,73,2016-04-30,04:43,0,"nu disco, disco house, house funky","Favicon",2009-12-14,53,0,76,92,0,90,-8,E Minor,4,7xWbvQCz53GlVL4xSXKqPy,AUHS20700018
17,"Cent fois","Cabadzi",126,10B,58,2016-04-30,03:45,0,"","Des angles et des épines",2014-09-22,86,19,0,78,10,0,-9,D Major,4,0237P3i3VpfoQbxKAVFLaV,FR9W11404747
18,"Je bois et puis je danse","Aline",95,11B,74,2016-04-30,04:28,0,"pop française indie, pop française","Regarde le ciel",2013-00-00,68,2,0,82,0,0,-5,A Major,4,3jLwMCiCa8zVkS4u5jJIJ4,FRI421100040
19,"Secretary","Ostyn",180,8B,56,2016-04-30,02:50,0,"","Secretary",2014-10-13,64,18,62,58,0,20,-10,C Major,4,6LvJyTm9o3p0rui0eCXb6Y,FR6KI1400003
