#,Song,Artist,Popularity,BPM,Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"Love","Sébastien Tellier",0,135,"house française, downtempo","L'Aventura",2014-01-01,04:27,55,72,14,95,50,0,20,-9,D Minor,4,2021-12-29,7xCp9bs1k2NjwPRp0ejAgK,"undefined",7A,FRS711400080
2,"Pink & Blue","The Van Jets",29,125,"","Welcome To Strange Paradise",2015-04-17,03:16,67,80,6,0,81,0,40,-6,B Minor,4,2021-12-29,62KVqRtHSmdljf1Pl9XbDF,"undefined",10A,BEB091500007
3,"Magic Moments - 2005 Digital Remaster","Renato Carosone",25,118,"dance italienne","The Platinum Collection",2007-01-01,02:12,80,33,68,0,94,0,10,-12,C♯/D♭ Major,4,2021-12-29,0EXDPYWG7zbTgBntCQTsHc,"undefined",3B,ITD000400618
4,"Nagorno Mist","Vusal Zeinalov",33,115,"","Beauty Of Kura",2018-06-01,03:11,15,31,99,94,20,0,10,-18,B Minor,4,2021-12-29,3GNLcf1kkwu2GlXnAo1Alo,"undefined",10A,SE5Q51800548
5,"Blues clair - Bande originale du film  Django ","The Rosenberg Trio",21,110,"swing","Django (Bande originale du film)",2017-04-07,02:41,65,65,16,88,84,0,10,-10,G#/A♭ Major,3,2021-12-29,0UQgqSpcurXnC39i2agUrl,"undefined",4B,FR9W11619026
6,"Can't Take My Eyes off You","Frankie Valli",77,124,"","Solo",1967-00-00,03:23,58,78,51,0,56,0,0,-7,E Major,4,2021-12-29,0bfvHnWWOeU1U5XeKyVLbW,"undefined",12B,USRH11000238
7,"Whatever Was Splendid","Mohini Geisweiller",1,125,"rock électronique","Sideration",2016-03-25,04:16,37,38,82,91,16,0,0,-10,F Minor,4,2021-12-29,0izoSvFUTrpqXryXA4SxOi,"undefined",4A,FRZ051400168
8,"Cloud Symphony","Shook",32,105,"nu disco, house française, synthwave, house funky","Shook",2013-08-06,06:24,75,47,67,91,80,0,20,-14,A Minor,4,2021-12-29,4cS2DmYMl17AaSBfHdiLb4,"undefined",8A,TCABP1336304
9,"Minor Swing","Django Reinhardt,Stéphane Grappelli,Quintette du Hot Club de France",50,202,"swing, jazz, jazz français, ragtime, big band","Djangologie Vol6 / 1937",1970-00-00,03:16,58,47,93,74,74,10,10,-9,A Minor,4,2021-12-29,0NDjQezJaEC1KX9TfwEfzf,"undefined",8A,FRZ113705332
10,"Je danse le mia","Corine",0,100,"pop française, disco italienne, house française","Back dans les bacs",2019-07-19,03:57,77,76,45,0,91,0,10,-6,A#/B♭ Minor,4,2021-12-29,5B0JHJLw3Edd6UWy0jHMUO,"undefined",3A,FR16W1900560
11,"Julia","Wuman,Julia Minkin",0,108,"","Portraits",2016-10-15,05:00,62,75,33,57,37,0,0,-7,E Minor,4,2021-12-29,12KVn4voNI1lX7tHlXZzZl,"undefined",9A,BEFJ61600002
12,"Baile de Claque","Anitek,TabInStereo",34,98,"trip-hop, downtempo","Sights & Sounds",2013-10-28,01:52,84,42,20,91,60,0,0,-12,A Minor,4,2021-12-29,38eUMdcCIKNfLRLdtNGaym,"undefined",8A,GBKQU1409996
13,"Démission (Pour Claire)","Les Vilars",29,98,"","Le bel avenir (dédicaces)",2017-01-12,03:25,75,77,31,1,70,20,10,-6,G Major,4,2021-12-29,2ucr9MY5zbHXUJRwHl8JVe,"undefined",9B,TCACW1765808
14,"Change","Lipka",20,130,"","Change",2015-00-00,03:04,90,57,9,0,52,0,0,-8,C Minor,4,2021-12-29,6R9QzYQZZ1t3263EtPl3ej,"undefined",5A,FR26V1562412
15,"Tamacun","Rodrigo y Gabriela",0,129,"rock acoustique","Rodrigo y Gabriela",2006-00-00,03:25,58,91,83,89,97,0,10,-7,G Major,4,2021-12-29,20ZlYnKKtmbLqZ2UwWpeGZ,"undefined",9B,IEACJ0400170
16,"Eple","Röyksopp",53,106,"downtempo, electronica, trip-hop","Melody A.M.",2001-08-22,03:38,68,85,1,7,81,0,10,-5,F#/G♭ Major,4,2021-12-29,7pbEKdMWHGwPQSDGfcNycM,"undefined",2B,GBCFC0100018
17,"Two Brothers","Hanni El Khatib",12,110,"garage rock, blues rock, rock roots","Moonlight",2015-01-20,05:47,67,85,10,1,46,0,0,-7,E Minor,4,2021-12-29,5NFDTv7qxRBtjfElv2k89q,"undefined",9A,USD8D1425011
18,"Summertime Cowboy","Husky Rescue",28,120,"","Country Falls",2004-00-00,04:06,80,59,85,10,90,0,10,-7,A#/B♭ Minor,4,2021-12-29,0ewi4OGTnAQeJ2GIammbj9,"undefined",3A,GBCFV0400008
19,"Commandante Che Guevara","Estudiantina Invasora",0,106,"son cubano","Latin Noir",2013-02-18,05:12,65,39,75,0,64,0,60,-11,G Minor,4,2021-12-29,3uOjAknhMxus85kwEesO1s,"undefined",6A,DEL121204806
20,"Filme moi","Alice et Moi",0,98,"pop française, house française","Filme moi",2017-10-27,03:29,67,49,22,11,69,0,10,-9,F#/G♭ Minor,4,2021-12-29,7f8ep7LmhUvhEIvlDfb9cj,"undefined",11A,FR9W11716791
21,"Somebody to Love","Saint Privat",0,104,"jazz français","Superflu / Un, Deux, Trois",2006-07-10,04:24,54,60,0,0,45,0,10,-6,C Major,4,2021-12-29,6ik3xLlh7HMXP2XI7uECgK,"undefined",8B,ATW630601702
22,"So Easy","Röyksopp",52,104,"downtempo, electronica, trip-hop","Melody A.M.",2001-08-22,04:09,72,81,3,83,46,0,40,-10,A#/B♭ Minor,4,2021-12-29,4MY8NLRDPXKn6CCsGLweLL,"undefined",3A,GBCFC0100006
23,"Aguas da Amazonia: Japurá River","Philip Glass,Uakti",33,176,"minimalisme, classique, néo-classique","Philip Glass: Aguas da Amazonia",1999-08-03,04:44,55,23,94,90,54,0,10,-27,F Minor,3,2021-12-29,3pUflNd59N3Qn4VaGCYaxc,"undefined",4A,NLA509806002
24,"Qui sait","Ezéchiel Pailhès",46,95,"","Divine",2013-06-17,03:28,77,45,67,96,69,0,10,-11,F Minor,4,2021-12-29,7oF5VnIPiVyZxWQurUXh5Z,"undefined",4A,FR2T01300039
25,"Boney M Down","Lindstrøm,Prins Thomas",39,101,"nu disco, electronica, space rock","Lindstrom & Prins Thomas",2005-10-14,03:49,76,64,8,90,88,0,10,-10,C Minor,4,2021-12-29,4o4lNCu3RYVl7B9BB3YEzF,"undefined",5A,NOCHQ0501030
26,"Stand on the Word - Studio Version","The Joubert Singers",39,108,"","Stand on the Word",2016-08-26,05:03,71,73,13,0,62,0,10,-6,F#/G♭ Major,4,2021-12-29,5vENdsWnbqEBK54OowpBlR,"undefined",2B,FRODU0815000
27,"Battery Point","Beak>",0,140,"krautrock, space rock","BEAK>",2009-10-19,07:10,16,65,4,88,18,0,10,-10,D Minor,4,2021-12-29,2gRdB1uJUfgJgXHL6PQuHL,"undefined",7A,GBHYY0910081
28,"The Love Me Or Die","C.W. Stoneking",50,151,"blues","Jungle Blues",2008-01-01,03:54,62,52,85,0,92,0,10,-5,D#/E♭ Minor,4,2021-12-29,1th3PrxWqMrDJeCxHL6gH1,"undefined",2A,AUQC30800008
29,"Fire (Lastman Theme)","Fred Avril,Philippe Monthaye",21,115,"","Lastman (Bande sonore originale de la série)",2017-06-16,03:31,39,67,0,2,35,0,20,-8,A#/B♭ Minor,4,2021-12-29,4CFPvGgBt837YvAmH4qa9x,"undefined",3A,FR9W11703204
30,"Runaway","The National",0,135,"indie rock","High Violet",2010-05-10,05:33,58,44,87,56,35,0,10,-10,E Major,3,2021-12-29,3S3B21k7IhIk70jmzF7i4F,"undefined",12B,GBAFL1000101
