#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Demi-mot","Colt",124,8A,47,-,03:08,32,"pop française","Demi-mot",2024-12-13,71,80,1,12,0,10,-10,A Minor,4,5p6cWSgjztQhEapqGD7INp,BE9IC2400003
2,"You Are Here","Olmo",65,9B,50,-,02:00,24,"","You Are Here",2024-05-24,30,35,1,51,10,50,-11,G Major,4,5dEvflkhmhpA9Phb5hAehK,DEAL32300296
3,"T'as vu","Clio",123,7A,64,-,04:01,48,"pop française indie, pop française","Déjà Venise",2019-08-30,72,10,0,34,0,20,-11,D Minor,4,0sm0ngdfdXuNNsrQNjfbaf,FR9W11819525
4,"Je sais pas être seule","Nina Battisti",93,5A,62,-,02:42,25,"pop française","Le Cabaret des Pleurs",2025-05-16,49,74,0,43,0,0,-7,C Minor,4,3FcFUaNTx17En4eVR7ygvB,FREX62500020
5,"J'veux tout savoir","Hélène Sio",77,6A,29,-,03:19,49,"pop française indie, pop française","J'veux tout savoir",2024-11-05,53,88,0,19,0,10,-11,G Minor,4,1lzRKxLpVfYG1w8ZCKaabi,FR6F32405280
6,"Breath of Roma","Meryem Aboulouafa",98,1B,33,-,03:25,37,"","Breath of Roma",2019-12-03,72,93,2,16,0,10,-11,B Major,4,7oHPHBLG6hOaGeBrkOUSS3,FRX201935077
7,"They Stay Down Deep","Giselle",202,5B,37,-,03:32,36,"","They Stay Down Deep",2018-10-05,37,97,0,47,0,10,-10,D#/E♭ Major,3,4JNj5vWvoJohMPyfrfo4Rc,AUHHL1100001
8,"A Big Dream","FYRS",154,9A,45,-,03:27,43,"pop baroque","A Big Dream",2023-04-07,68,3,51,60,0,0,-13,E Minor,4,2W1YNXn5aQR29uCy2dD9m0,FR9MX2200002
9,"L’Amour Est Doux","Soniamiki,Lukasz Lach",120,2B,67,-,03:38,9,"","L’Amour Est Doux",2025-05-05,72,33,38,88,0,10,-10,F#/G♭ Major,4,17aYxTkEROgWXW2AKN1m6p,PL24D2500001
10,"Les Pâtes","Adel Fugazi",78,3B,59,-,01:40,8,"","Les Pâtes",2023-06-14,83,13,2,44,20,0,-10,C♯/D♭ Major,4,7faHqOi8rJt4AOwkPgPLgN,QZMEN2321186
11,"The Girl with the Sun in Her Eyes","Jay-Jay Johanson",110,5A,13,-,02:42,41,"trip-hop","Bury the Hatchet",2017-09-15,52,99,92,50,0,0,-21,C Minor,4,1MXYP6E7eZLhPjFBSKvApr,FR59R1787568
12,"Matrixée","Juste Shani",139,3A,60,-,01:40,44,"rap français","Matrixée",2025-06-12,70,51,0,47,30,10,-7,A#/B♭ Minor,4,4rZxjL7K12f3LkL6KhsI9k,FXR592402825
13,"L'oiseau","Solann",124,4B,26,-,03:01,53,"pop française, variété française","Si on sombre ce sera beau",2025-01-24,70,89,0,8,0,10,-14,G#/A♭ Major,4,50FrNM0qlOykUxfAIaYL2f,FR6F32405410
14,"Solfeggietto","Luca Sestak",152,4A,40,-,03:49,53,"boogie-woogie, boogie, ragtime","Lighter Notes",2024-03-08,32,70,90,8,0,0,-17,F Minor,4,1VSQ0KbNTzJvumUk1ubKAY,DECY92400847
