#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Reflections","Niklas Aman",140,8B,24,2012-10-22,02:36,0,"","Good To Be Here",2010-12-11,48,98,94,31,0,10,-22,C Major,3,1P6lGw09zXPIRjvbesW2rA,TCAAT1058584
2,"Seagull","Niklas Aman",160,8A,10,2012-10-22,02:12,0,"","Good To Be Here",2010-12-11,53,96,89,51,0,10,-21,A Minor,4,2H4hUQb5UfPKHy5053qM7M,TCAAT1058586
3,"Good To Be Here","Niklas Aman",80,8B,22,2012-10-22,02:23,0,"","Good To Be Here",2010-12-11,52,96,96,42,0,10,-17,C Major,3,3STxtHx9udk59LeOgGc4ge,TCAAT1058602
4,"No Good Deed Goes Unpunished","As The Stars Fall",152,12A,49,2012-10-22,05:24,4,"post-rock","Tempus Fugit",2010-04-26,49,32,62,9,0,60,-8,C♯/D♭ Minor,4,7nT3L6MhL7zrlS73BHc0HL,FR6V81084911
5,"A Dead Leaf Dance","As The Stars Fall",110,2B,62,2012-10-22,04:00,11,"post-rock","Tempus Fugit",2010-04-26,67,92,93,21,0,0,-9,F#/G♭ Major,4,1CkAs81K3nczk5tMCWEaXm,FR6V81084912
6,"Frozen River","As The Stars Fall",140,1B,23,2012-10-22,03:09,2,"post-rock","Tempus Fugit",2010-04-26,56,85,87,25,0,0,-21,B Major,4,0PaTlCdrCgINmb1t8vGG4b,FR6V81084914
7,"The Road","As The Stars Fall",210,7B,27,2012-10-22,04:42,12,"post-rock","Tempus Fugit",2010-04-26,24,98,95,9,0,0,-13,F Major,3,1qqnATNtDClJVqVkaIeBWm,FR6V81084915
8,"I Gave You A Choice","As The Stars Fall",150,4B,37,2012-10-22,04:54,1,"post-rock","Tempus Fugit",2010-04-26,56,64,46,10,0,10,-14,G#/A♭ Major,4,2Lzg1u5t55Z34LZbgTYVkS,FR6V81084916
9,"Artificial Sun","As The Stars Fall",130,4A,35,2012-10-22,05:32,2,"post-rock","Artificial Sun",2011-01-17,42,91,95,7,0,10,-11,F Minor,4,0BmBztf5wlwJFNRD63nrOD,FR6V80895409
10,"As Far As the Eye Can See","As The Stars Fall",148,9B,72,2012-10-22,06:45,3,"post-rock","Redux",2011-01-17,42,63,89,5,0,40,-9,G Major,4,2wdonS9vYRZInLcGYxb2tZ,FR6V80754722
