Sources Qobuz,Sources Bibli,Artist_A_rechercher,Artist_Possede,Artist_sim,Album_A_rechercher,Album_Possede,Album_sim,Liste_albums_pos,Path_Possede,Autres_albums_biblio
https://play.qobuz.com/artist/525535,,Worakls,Worakls,100,Club St Tropez 2014,Orchestra,29,Orchestra,__Autres/Worakls/Orchestra,"From one blink to another - 784.WOR 3, Orchestra - 784.WOR 5 - Prêté"
https://play.qobuz.com/artist/525535,,Worakls,Worakls,100,Flocon de Neige,Orchestra,25,Orchestra,__Autres/Worakls/Orchestra,"From one blink to another - 784.WOR 3, Orchestra - 784.WOR 5 - Prêté"
https://play.qobuz.com/album/sfj2it0zri88a,,NTO,NTO,100,Petite,Utopia _ Porto,30,FOREVER FRIENDS - Invisible - Trauma EP - Utopia _ Porto,__Autres/NTO/Utopia _ Porto,
https://play.qobuz.com/artist/843818,,"Joachim Pastor,Florence Bird",Joachim Pastor,100,Wayfaring Stranger Radio Edit (feat. Florence Bird),Greater Message,42,Eternity - Fever - Greater Message - The Winning Line,__Autres/Joachim Pastor/Greater Message,9.11 pm Town Hall - D 04900
https://play.qobuz.com/artist/38068,,Sébastien Tellier,Sebastien Tellier,100,Narco,Confection,40,A Girl Is a Gun (Music from the Orig - Confection - Domesticated - L'Aventura - My God Is Blue - Politics - Saint Amour (Bande originale du film - Sessions - Sexuality - Sexuality Remix - Simple Mind - Libre (Original Motion Picture Score),__Autres/Sebastien Tellier/Confection,"Narco : bande originale du film - D 24917, Eté d'amour : Respect presents - D 62476, Future sounds of jazz vol. 10 - 784.A 53 - Prêté, Sexuality - D 59807, Confection - D 52040"
https://play.qobuz.com/artist/263844,,Deluxe,Deluxe,100,Polishing Peanuts EP,ÇA FAIT PLAISIR,50,Boys & Girl - Stachelight - ÇA FAIT PLAISIR,__Autres/Deluxe/ÇA FAIT PLAISIR,"Shithammer deluxe - D 01165, Resistance Deluxe - D 17740"
https://play.qobuz.com/artist/263844,D 70594 (En rayon),Deluxe,Deluxe,100,The Deluxe Family Show,ÇA FAIT PLAISIR,33,Boys & Girl - Stachelight - ÇA FAIT PLAISIR,__Autres/Deluxe/ÇA FAIT PLAISIR,"Shithammer deluxe - D 01165, Deluxe - D 02093, Resistance Deluxe - D 17740"
https://play.qobuz.com/artist/53218,D 16185 (En rayon),Noir Désir,Noir Désir,100,En Route Pour La Joie,Des visages des figures,36,666.667 Club - Des visages des figures - Tostaky,__Autres/Noir Désir/Des visages des figures,"One trip one noise : Noir Désir remixé et adapté - D 17376, Noir Désir en public - D 67972, Tostaky : 20 ans - 788.NOI 62, 666.667 club - 788.NOI 62, Des visages des figures - 788.NOI 62, Comme elle vient - 788.NOI 62"
https://play.qobuz.com/album/5414939239670,D 37043 (En rayon),Suarez,Saez,80,L'Indécideur,,0,,,
https://play.qobuz.com/album/0886446203072,D 70197 - Prêté (Retour prévu le : 02/06/2026),Boulevard des Airs,Bear's Den,57,Bruxelles,,0,,,"Les appareuses trompences - D 60905, Paris-Buenos Aires - D 68066, Je me dis que toi aussi - D 62549, Je rentre à la maison - 788.BOU 5"
https://play.qobuz.com/artist/601939,D 68066 (En rayon),Boulevard des Airs,Bear's Den,57,Cielo Ciego,,0,,,"Les appareuses trompences - D 60905, Je me dis que toi aussi - D 62549, Je rentre à la maison - 788.BOU 5, Loin des yeux - D 70197 - Prêté"
https://play.qobuz.com/album/0886443248137,D 68066 (En rayon),Boulevard des Airs,Bear's Den,57,Paris-Buenos Aires,,0,,,"Les appareuses trompences - D 60905, Je me dis que toi aussi - D 62549, Je rentre à la maison - 788.BOU 5, Loin des yeux - D 70197 - Prêté"
https://play.qobuz.com/album/b0pxjemp2ueja,,"Caribou,Luke Lalonde,Adem And One Little Plane",Caribou,100,Melody Day (Four Tet Remix),The Milk Of Human Kindness,28,Andorra - Our Love - Swim - The Milk Of Human Kindness,__Autres/Caribou/The Milk Of Human Kindness,"Caribou - D 11845, Swim - D 60841, Dirty diamonds III - D 36129 V.03, Our love - D 45936"
https://play.qobuz.com/album/0825646477753,D 44164 (En rayon),Granville,Vanille,75,Les Voiles,,0,,,"Les inrockslab : vol.1 - D 53729 V.01, Stephen Hough's english piano album - D 28714"
https://play.qobuz.com/album/0886444784214,D 65989 (En rayon),Brigitte,Brigitte Bardot,70,A bouche que veux-tu,,0,,,"Brigitte Fontaine est... - 788.FON 4 - Prêté, Brigitte Bardot Show - D 47340"
https://play.qobuz.com/album/0060075325232,,Gaëtan Roussel,Guillaume Roussel,71,Ginger,,0,,,
https://play.qobuz.com/album/0060252786372,788.LOU 62 (En rayon),Louise Attaque,Louise Attaque,100,Du Monde Tout Autour,Comme On A Dit,41,Comme On A Dit - Louise Attaque - À Plus Tard Crocodile,__Autres/Louise Attaque/Comme On A Dit,"Louise Attaque : : 20ème anniversaire - 788.LOU 62 - Prêté, Cuisine non-stop : Luaka Bop présente : Introduction to the french nouvelle generation ; David Byrne, compilateur - D 37993"
https://play.qobuz.com/album/0724358122954,D 27877 (En rayon),Mickey 3d,Mel D,57,Tu Vas Pas Mourir De Rire,,0,,,"Mickey 3d - D 27876, Imaginary songs : a tribute to The Cure - D 33353, La trêve - D 56030, Mistigri torture - D 45700, La grande évasion - D 39763, Tu vas pas mourir de rire - D 27877, Live à Saint-Etienne - D 58359"
https://play.qobuz.com/album/0060249818547,D 29004 (En rayon),Dionysos,DINNO,62,Western Sous La Neige,,0,,,"Monsters in live - D 40683, Pop 'n foot - D 40226, Des airs de liberté : hommage à Jean Ferrat ; Raphaël, Marc Lavoine, Cali... - D 43811, Panique au village : Le son de panique - D 22082, Jack et la mécanique du coeur : bande originale du film par Dionysos ; Olivia Ruiz, Arthur H, Emily Loizeau... ; Stéphane Berla et Mathias Malzieu, réalisateurs - D 33329"
https://play.qobuz.com/album/0886445659283,D 35781 - Prêté (Retour prévu le : 05/06/2026),Tryo,Toro,75,Grain De Sable,,0,,,
https://play.qobuz.com/album/wp4rem4k2bcsc,D 57974 (En rayon),Tété,The The,73,À la faveur de l'automne,,0,,,Des plumes dans la tête = feathers in my head : bande originale du film - D 34033
https://play.qobuz.com/album/0060249833672,,Olivia Ruiz,Celia Cruz,67,La Femme Chocolat,,0,,,
,,Pep's,Alpes,60,Suivez le flo,,0,,,"Live at Pep's volume two - D 53549, Equilibre sauvage - D 39521, Pop - D 32723, Utopies dans le décor - D 37534, Au sourire de l'âme - D 37533"
https://play.qobuz.com/artist/173288,,Ycare,CAKE,67,La Somone,,0,,,"Ycare - 788.YCA 5, Au bord du monde - D 56079, Nos futurs - 788.YCA 5, Adieu je t'aime - D 65015, Des millions d'années - 788.YCA 5"
https://play.qobuz.com/album/0060252793657,D 49992 (En rayon),Skip the Use,Suki Waterhouse,67,Can Be Late,,0,,,"Skip the use - D 61270, Little armageddon - D 54466, Human disorder - D 73244, Past & future - D 02956, Love & anxiety - 782.SKI 67"
https://play.qobuz.com/album/0886444999564,788.DOR 44 - D 58322 (En rayon - En rayon),"Julien Doré,Micky Green",Julien Baker,70,LØVE,,0,,,"Des airs de liberté : hommage à Jean Ferrat ; Raphaël, Marc Lavoine, Cali... - D 43811"
https://play.qobuz.com/album/tc5f0elzd4b1a,788.CHR 62 73 (En rayon),Christine and the Queens,Mozes And The Firstborn,64,Chaleur Humaine,,0,,,"Christine and the Queens : import US - D 70079, 30 ans Victoires de la musique - 788.A 5"
https://play.qobuz.com/artist/59799,,"Nolwenn Leroy,Thomas Dutronc,Zaz,Renan Luce,Jeanne Cherhal,Tété,Rose,Mike Ibrahim,Joyce Jonathan,Christophe Maé",Julien Clerc,56,Le chemin de pierre,,0,,,"Nolwenn Leroy - 788.LER 5, Histoires naturelles - D 66028"
https://play.qobuz.com/album/3610150225801,D 52789 (En rayon),Joyce Jonathan,Jonathan Wilson,69,Sur Mes Gardes,,0,,,"Les enfants du Top 50 - 788.A 5, Ca, c'est vraiment nous : Téléphone tribute - 788.A 5, Caractère - D 56979, On - D 49884"
https://play.qobuz.com/album/0060075313146,,Zazie,"Izzie, Jairos & Alishya",80,Zest Of,,0,,,"Za7ie : 14/49 - D 49094, Za7ie 49/49 - 788.ZAZ"
https://play.qobuz.com/album/0060253732513,788.ZAZ 5 - Prêté - D 63192 (Retour prévu le : 06/06/2026 - En rayon),Zazie,"Izzie, Jairos & Alishya",80,La Zizanie,,0,,,"Za7ie : 14/49 - D 49094, Za7ie 49/49 - 788.ZAZ"
https://play.qobuz.com/artist/58574,,Zazie,"Izzie, Jairos & Alishya",80,Zen,,0,,,Za7ie 49/49 - 788.ZAZ
https://play.qobuz.com/album/5099748976628,D 60946 (En rayon),"Suprême NTM,Lord Kossity",Suprême NTM,100,Suprême NTM,L'intégrale,36,L'intégrale,__Autres/Suprême NTM/L'intégrale,"Suprême NTM live : du ""Monde de demain"" à ""Pose ton gun"" - D 54256, Anthologie : 30 ans de Suprême NTM - 781.5 NTM, Rap club 2019 - 781.5 A, Boss vs IV my people : Round 1 - D 09380"
https://play.qobuz.com/artist/42955,,IAM,Iam,100,Anthologie IAM (1991-2004),L'école Du Micro D'argent (Edition Collector),41,L'école Du Micro D'argent (Edition Collector) - Ombre Est Lumière,__Autres/Iam/L'école Du Micro D'argent (Edition Collector),"... IAM - D 49517, De la planète Mars - 781.5 IAM - Prêté"
https://play.qobuz.com/artist/59796,,MC Solaar,MC Solaar,100,"Magnum 567 (Pack contenant 3 albums de MC Solaar : Cinquième As, Mach 6 et Chapitre 7)",Cinquième As,36,Chapitre 7 - Cinquième As - Géopoétique - MC Solaar - Paradisiaque - Prose Combat - Qui Sème Le Vent Récolte Le Tempo,__Autres/MC Solaar/Cinquième As,"MC Solaar - D 37954 - Prêté, Chapitre 7 - D 50600 - Prêté, Cinquième as - D 45708 - Prêté, Jimmy Jay présente : les cool sessions - D 07089 V.01, Hit machine groove - D 14874, Géopoétique - D 63704 - Prêté"
https://play.qobuz.com/album/3700368423882,,MC Solaar,MC Solaar,100,Mach 6,Chapitre 7,38,Chapitre 7 - Cinquième As - Géopoétique - MC Solaar - Paradisiaque - Prose Combat - Qui Sème Le Vent Récolte Le Tempo,__Autres/MC Solaar/Chapitre 7,"Cinquième as - D 45708 - Prêté, Jimmy Jay présente : les cool sessions - D 07089 V.01, Hit machine groove - D 14874, Géopoétique - D 63704 - Prêté"
https://play.qobuz.com/album/5060107721135,,Charlotte Gainsbourg,Charlotte Gainsbourg,100,5:55 (Nouvelle Edition),Hey Joe,18,Hey Joe - IRM - Rest - Stage Whisper,__Autres/Charlotte Gainsbourg/Hey Joe,
https://play.qobuz.com/artist/112890,782.FLO 322 - D 56899 (En rayon - En rayon),Florence + The Machine,Florent Marchet,74,Between Two Lungs,,0,,,"Moshi moshi singles club . 02 : 2008-2010 - D 08915, Jennifer's body - D 41706, Cruella - 786.1 CRU 1, How big, how blue, how beautiful - D 54215, Everybody scream - 782.FLO 24 - Prêté"
