Sources Qobuz,Sources Bibli,Artist_A_rechercher,Artist_Possede,Artist_sim,Album_A_rechercher,Album_Possede,Album_sim,Liste_albums_pos,Path_Possede,Autres_albums_biblio
https://play.qobuz.com/album/y9763c67ocllb,789.15 BAS 2 (En rayon),Blick Bassy,Bassy Blick,100,1958,Ako,0,Ako,__Autres/Bassy Blick/Ako,"Léman - D 33151, Madiba - 789.15 BAS 2, Akö - 789.15 BAS 2"
,,･ ･－･ ･－ ･･･ ･ －･･,-M-,0,･－･･ ･ － ･･ － －－･ －－－,,0,,,
,,วงดิอิมพอสซิเบิ้ล,Haich Ber Na,45,The Impossible รวมฮิต Vol.2,,0,,,
https://play.qobuz.com/artist/649610,,Anri,Anri,100,杏里 夏盤,Timely!!,10,Timely!!,__Autres/Anri/Timely!!,
https://play.qobuz.com/album/bhhjotxz94fdc,D 43415 - Prêté (Retour prévu le : 30/05/2026),Devendra Banhart,Devendra Banhart,100,Cripple Crow,Smokey Rolls Down Thunder Canyon,27,Mala - Smokey Rolls Down Thunder Canyon,__Autres/Devendra Banhart/Smokey Rolls Down Thunder Canyon,"The black & white skins vol. 1 - D 08911 V.01, Mala - D 36274 - Prêté, Flying wig - D 73150, Ma - D 65471"
https://play.qobuz.com/album/tzmwwwua8jbyb,,sombr,Colombre,62,I Barely Know Her,,0,,,
https://play.qobuz.com/album/dni25jopesufa,,D3lta,Dalida,55,Kids,,0,,,"Claude François, son dernier concert du 24 février 1978, Palais d'Hiver de Lyon. - Chomarat DISQ 2044, Carmen D3 - D 02288"
https://play.qobuz.com/album/k97q3yqjsuyfw,,Daedr1k,Dxrk ダーク,59,Cold Summer,,0,,,"Bastien et Bastienne K. 50 : singspiel en 1 acte Lieder K. 349 et K. 351 - D 16876, Hostile : une spéciale pour les halls vol.2 - D 33067 V.02"
https://play.qobuz.com/album/5034202018858,782.ARC 61 - D 67114 (En rayon - En rayon),Arctic Monkeys,Smoke City,58,Favourite Worst Nightmare,,0,,,"AM - D 20754, Suck it and see - D 35343, Tranquility base hotel + casino - D 61055"
https://play.qobuz.com/album/k6pew8mx3zg4b,,The Cabriolets,The Cranberries,76,Inside Out,,0,,,
https://play.qobuz.com/album/tz88vp2el3y1r,,Elk Darling,David Darling,67,The Cecil Hotel,,0,,,
https://play.qobuz.com/album/5414939462177,D 47765 (En rayon),"John Grant,Sinéad O'Connor",John Grant,100,Pale Green Ghosts,"Grey Tickles, Black Pressure",36,"Boy from Michigan - Grey Tickles, Black Pressure - Queen of Denmark","__Autres/John Grant/Grey Tickles, Black Pressure","Lazy dog : Deep house music mixed by Ben Watt and Jay Hannan - D 11393, The Best of Big John Patton - The organization! - D 11265"
https://play.qobuz.com/album/5414939917257,D 59333 (En rayon),"Ghostpoet,Paul Smith",Gotan Project,64,Shedding Skin,,0,,,"I grow tired but dare not fall asleep - 784.GHO 51, Some say I so I say light - D 48527, Peanut butter blues and melancholy jam - D 38552, Dark days + canapés - D 56323"
https://play.qobuz.com/album/o5bndxf773nha,,"The Something Specials,Taylor Olin",nothhingspecial,70,Coop,,0,,,
https://play.qobuz.com/album/jav177xgk7hvc,,Vlad Holiday,Hola Hola,67,Write Me off the Show,,0,,,
https://play.qobuz.com/album/nr1ix90e9z4jb,,Nep,Inerpol,60,Noelle,,0,,,
https://play.qobuz.com/artist/2591143,,Traf,Traf,100,Quetzal,La Dibona,25,John Wolfgang II - La Dibona - My Mowl,__Autres/Traf/La Dibona,
https://play.qobuz.com/album/zejkk1bxc44ia,,Renard Tortue,La Tordue,64,Jamais d'accord,,0,,,Les fables de La Fontaine en chansons - D 56971
https://play.qobuz.com/album/0005008733619,,James Supercave,James Spiteri,71,Better Strange,,0,,,
https://play.qobuz.com/album/u0svuxiapvfrb,,"Karen O,Michael Kiwanuka",Karen O,100,YO! MY SAINT (Radio Version),Crush Songs,27,Crush Songs - Lux Prima - Where The Wild Things Are Motion Pic,__Autres/Karen O/Crush Songs,"Femmes celtes = Celtic women - 789.7 A 082, Crush songs - D 46851"
https://play.qobuz.com/album/ndn7cx88c2ldp,,Disappeared Completely,Part Company,53,Not With Me,,0,,,
https://play.qobuz.com/artist/7833010,,Dirty Nice,Jane Dire,63,Surrenderland,,0,,,
https://play.qobuz.com/album/i54mju5gsr7sa,,Kanadia,Nada,73,Kanadia,,0,,,
https://play.qobuz.com/album/uusp6y4ymzyeb,,Kosco,Coco,67,Supermoon,,0,,,
https://play.qobuz.com/album/hal1dopu0ytvc,,Pixey,Ibeyi,60,Free to Live in Colour,,0,,,
https://play.qobuz.com/album/fuwcobhyisedc,,FIL BO RIVA,Boris Vian,57,Beautiful Sadness (Deluxe Edition),,0,,,
https://play.qobuz.com/album/n1o0zzzifzwda,,Gracie Abrams,Brace! Brace!,67,The Secret of Us (Deluxe),,0,,,"Good riddance - D 69969, The secret of us - 782.ABR 23"
https://play.qobuz.com/album/lupilem6571gc,,To Athena,To Athena,100,Weird Kid,The Movie,33,Aquatic Ballet - Dänke - The Movie - Wältuntergang,__Autres/To Athena/The Movie,
https://play.qobuz.com/album/vv7tr8vctkp5a,,Baby Bugs,BB Brunes,67,Bible Belt,,0,,,
https://play.qobuz.com/album/jtml9wvpzoglc,,Ea Othilde,White Sea,63,I Will Not Be Like That,,0,,,
https://play.qobuz.com/album/vu9tja0t08dvc,,Mood Bored,Bedroom,59,Lucky,,0,,,
https://play.qobuz.com/album/j0pb224x5a6wb,,Blood Red Sun,Blonde Redhead,59,Pressure Lover,,0,,,
https://play.qobuz.com/album/qq8gl1b347z6b,,Melissa Mary Ahern,Melissa Auf der Maur,79,Kerosene,,0,,,
https://play.qobuz.com/album/riwox4lpl2rac,,Odd Beholder,Odd Beholder,100,Internet Famous,Sunny Bay,33,Drive - Feel Better - Hurt - Lighting - Remixes - Sunny Bay,__Autres/Odd Beholder/Sunny Bay,
https://play.qobuz.com/album/aejeuwf2g84ri,,Esther,Easter,83,Miss Congeniality,,0,,,"Esther : HWV 50 : oratorio en 6 scènes - D 34362, The Best of Esther Phillips - D 33617"
https://play.qobuz.com/album/bbgka4cf2gmvl,,RVE,Hervé,75,running,,0,,,
https://play.qobuz.com/album/fxezw3bo6nnhb,,Alice Costelloe,Steel Alive,69,Move On With The Year,,0,,,
https://play.qobuz.com/album/mhktolpxvdyma,,Alice Costelloe,Steel Alive,69,When It's the Time,,0,,,
https://play.qobuz.com/album/e1svycay1kbko,,"Laurent Bardainne,Melissa Weikart",Laurent Bardainne,100,This Is Your Song,En Amour - Adrien M & Claire B (Bande originale),28,En Amour - Adrien M & Claire B (Bande originale),__Autres/Laurent Bardainne/En Amour - Adrien M & Claire B (Bande originale),"Eden Beach Club - 781.3 BAR 8, Love is everywhere - 781.3 BAR 8 - Prêté, Hymne au soleil - 781.3 BAR 8"
https://play.qobuz.com/album/mxe198e4j8sla,,Malummí,MaMaMa,62,Damaged By Their Silence,,0,,,
https://play.qobuz.com/album/ewqnf9v3ib9am,782.LOW 36 (En rayon),Low,Elbow,75,Ones and Sixes,,0,,,"High/low - D 49079, ""Low"" Symphony : symphonie n°1 - 783.GLA 24"
https://play.qobuz.com/album/ie7unvodqniqc,,Maudlin Strangers,Serena Stranger,62,Silver Stain,,0,,,
https://play.qobuz.com/album/0016861808105,D 34172 (En rayon),The Dresden Dolls,The Doors,62,"Yes, Virginia",,0,,,"The Dresden Dolls - D 33324, No, Virginia... - D 24020, A is for accident - D 26475"
