Sources Qobuz,Sources Bibli,Artist_A_rechercher,Artist_Possede,Artist_sim,Album_A_rechercher,Album_Possede,Album_sim,Liste_albums_pos,Path_Possede,Autres_albums_biblio
https://play.qobuz.com/album/3661585546368,,As The Stars Fall,As The Stars Fall,100,Artificial Sun,Tempus Fugit,31,Autres - Redux - Tempus Fugit - Untitled,__Autres/As The Stars Fall/Tempus Fugit,"Tempus fugit - D 34176, Choreography - D 42227, Love songs - D 47595"
https://play.qobuz.com/album/fqa9syu9lvjaa,,Uniform Motion,Uniform Motion,100,Life,Instrumental Life,38,5 - Altered Covers - Instrumental Life - One Frame Per Second - The Magic Empire - Uniform Motion - Altered Covers - Whatever That Is,__Autres/Uniform Motion/Instrumental Life,
https://play.qobuz.com/artist/36807,,Anne Queffélec,Anne Dudley,64,Klapisch Musiques,,0,,,
https://play.qobuz.com/album/m8wh3e0xkuesa,,The Blue Notes,The Blues Brothers,81,Valiant Hearts: The Great War - Little Trinketry (Cover Version),,0,,,"Detained at the Blue Note - D 13008, Live at the Blue Note - D 01943, Round about midnight at the Blue Note - D 55875, Boppin' at the Blue Note - D 13951"
https://play.qobuz.com/artist/268100,,Lorne Balfe,Lorne Balfe,100,Emotive Piano Scores,Ambulance,34,Ambulance - Top Gun Maverick,__B.O/Ambulance - Lorne Balfe,"The wheel of time : the firts turn : Amazon original series soundtrack - 786.1 WHE 3, Wallace & Gromit : the curse of the were-rabbit = Le mystère du lapin-garou : bande originale du film - D 30443"
https://play.qobuz.com/artist/445458,,"Chris Allen,Alex Johnson,Steve Satterthwaite",Lily Allen,67,Emotive Piano Scores,,0,,,
https://play.qobuz.com/artist/1075154,,Daniel Teper,Daniel Hope,78,Emotive Piano Scores,,0,,,
https://play.qobuz.com/artist/1722908,,Ian Livingstone,Angus & Julia Stone,62,Emotive Piano Scores,,0,,,
https://play.qobuz.com/artist/1393656,,Les Gordon,Les Gordon,100,Moon Landing,La,29,ALTURA - Françoise - Brigitte - La - Nuances,__Autres/Les Gordon/La,"A la plage - D 09283, Quintette en la mineur pour piano, hautbois, clarinette, cor et basson - D 21972, Trios pour hautbois, clarinette et basson - D 30526"
https://play.qobuz.com/artist/7604072,,"GMPresents & Jocelyn Scofield,GMPresents,Jocelyn Scofield",Mes Souliers Sont Rouges,51,Skyfall,,0,,,
